player,PA_TBF,team,draft_year
Yamaico Navarro,0,b_lindbergh,2014
Fernando Martinez,0,b_lindbergh,2014
Reid Brignac,91,b_lindbergh,2014
Travis Blackley,0,b_lindbergh,2014
Alex Liddi,0,b_lindbergh,2014
Jonathan Albaladejo,0,b_lindbergh,2014
Cory Wade,0,b_lindbergh,2014
Quintin Berry,2,b_lindbergh,2014
Bill Bray,0,b_lindbergh,2014
Mark Rogers,0,b_lindbergh,2014
Shawn Camp,15,s_miller,2014
Matt LaPorta,0,s_miller,2014
Aaron Laffey,0,s_miller,2014
Ben Francisco,0,s_miller,2014
Ross Wolf,0,s_miller,2014
Jonathan Sanchez,0,s_miller,2014
Ezequiel Carrera,73,s_miller,2014
Tommy Layne,76,s_miller,2014
Steven Tolleson,189,s_miller,2014
Ed Easley,0,s_miller,2014
John Axford,250,b_lindbergh,2015
Joe Savery,0,b_lindbergh,2015
Deibinson Romero,0,b_lindbergh,2015
Jonathan Herrera,132,b_lindbergh,2015
Clayton Richard,181,b_lindbergh,2015
Jonathan Galvez,0,b_lindbergh,2015
Cord Phelps,0,b_lindbergh,2015
Scott Sizemore,0,b_lindbergh,2015
Mike Baxter,66,b_lindbergh,2015
Buck Britton,0,b_lindbergh,2015
Radhames Liz,106,s_miller,2015
Chris Volstad,7,s_miller,2015
Rafael Betancourt,175,s_miller,2015
Nick Noonan,24,s_miller,2015
Caleb Gindl,0,s_miller,2015
Pat Venditte,119,s_miller,2015
Rene Garcia,0,s_miller,2015
Brandon Allen,0,s_miller,2015
David Aardsma,129,s_miller,2015
Sebastian Valle,0,s_miller,2015
Emilio Bonifacio,43,b_lindbergh,2016
Hak-Ju Lee,0,b_lindbergh,2016
Rafael Ortega,202,b_lindbergh,2016
Andury Acevedo,0,b_lindbergh,2016
Jio Mier,0,b_lindbergh,2016
Buddy Baumann,40,b_lindbergh,2016
Cesar Vargas,154,b_lindbergh,2016
Trey Haley,0,b_lindbergh,2016
Blake Wood,330,b_lindbergh,2016
