player,pa_tbf,contestant,draft_year,key_bbref_minors,key_fangraphs
Yamaico Navarro,0,b_lindbergh,2014,navarr001yam,5665
Fernando Martinez,0,b_lindbergh,2014,martin005jes,9210
Reid Brignac,91,b_lindbergh,2014,brigna001rei,8380
Travis Blackley,0,b_lindbergh,2014,blackl001tra,3234
Alex Liddi,0,b_lindbergh,2014,liddi-001ale,5411
Jonathan Albaladejo,0,b_lindbergh,2014,albala001jon,3521
Cory Wade,0,b_lindbergh,2014,wade--001cor,7570
Quintin Berry,2,b_lindbergh,2014,berry-001qui,9414
Bill Bray,0,b_lindbergh,2014,bray--001wil,8538
Mark Rogers,0,b_lindbergh,2014,rogers002mar,4083
Shawn Camp,15,s_miller,2014,camp--001sha,1855
Matt LaPorta,0,s_miller,2014,laport001mat,2280
Aaron Laffey,0,s_miller,2014,laffey001aar,6248
Ben Francisco,0,s_miller,2014,franci001lou,4677
Ross Wolf,0,s_miller,2014,wolf--001ros,4534
Jonathan Sanchez,0,s_miller,2014,sanche002jon,7507
Ezequiel Carrera,73,s_miller,2014,carrer001eze,9048
Tommy Layne,76,s_miller,2014,layne-001tho,7501
Steven Tolleson,189,s_miller,2014,tolles001ste,4450
Ed Easley,0,s_miller,2014,easley001ed-,2487
John Axford,250,b_lindbergh,2015,axford001joh,9059
Joe Savery,0,b_lindbergh,2015,savery001joe,2835
Deibinson Romero,0,b_lindbergh,2015,romero001dei,
Jonathan Herrera,132,b_lindbergh,2015,herrer001jon,4182
Clayton Richard,181,b_lindbergh,2015,richar001cla,3551
Jonathan Galvez,0,b_lindbergh,2015,galvez001jon,
Cord Phelps,0,b_lindbergh,2015,phelps001rob,8631
Scott Sizemore,0,b_lindbergh,2015,sizemo001sco,2881
Mike Baxter,66,b_lindbergh,2015,baxter001mic,4464
Buck Britton,0,b_lindbergh,2015,britto001buc,
Radhames Liz,106,s_miller,2015,liz---001rad,5843
Chris Volstad,7,s_miller,2015,volsta001chr,9901
Rafael Betancourt,175,s_miller,2015,betanc001raf,177
Nick Noonan,24,s_miller,2015,noonan001nic,6880
Caleb Gindl,0,s_miller,2015,gindl-001cal,5002
Pat Venditte,119,s_miller,2015,vendit001pat,7108
Rene Garcia,0,s_miller,2015,garcia003ren,
Brandon Allen,0,s_miller,2015,allen-002bra,7436
David Aardsma,129,s_miller,2015,aardsm001dav,1902
Sebastian Valle,0,s_miller,2015,valle-001seb,
Emilio Bonifacio,43,b_lindbergh,2016,bonifa001emi,4054
Hak-Ju Lee,0,b_lindbergh,2016,lee---001hak,
Rafael Ortega,202,b_lindbergh,2016,ortega002raf,10323
Andury Acevedo,0,b_lindbergh,2016,aceved001and,
Jio Mier,0,b_lindbergh,2016,mier--001jio,
Buddy Baumann,40,b_lindbergh,2016,bauman001geo,9309
Cesar Vargas,154,b_lindbergh,2016,vargas001ces,14099
Trey Haley,0,b_lindbergh,2016,haley-001cur,
Blake Wood,330,b_lindbergh,2016,wood--001bla,1345
Ji-man Choi,129,b_lindbergh,2016,choi--001ji-,5452
Dayan Viciedo,0,s_miller,2016,vicied001day,3917
Pete Kozma,0,s_miller,2016,kozma-001pet,2539
Jim Henderson,155,s_miller,2016,hender004jam,6653
Casey Kotchman,0,s_miller,2016,kotchm001cas,1930
Jarrett Grube,0,s_miller,2016,grube-001jar,7553
Jeff Beliveau,0,s_miller,2016,belive001jef,8504
Clay Rapada,0,s_miller,2016,rapada001cla,4831
Dayan Diaz,36,s_miller,2016,diaz--001day,11543
Anthony Recker,112,s_miller,2016,recker001ant,4063
Jean Machi,0,s_miller,2016,machi-001jea,3220
Lisalverto Bonilla,172,b_lindbergh,2017,bonill001lis,11266
Ryan LaMarre,8,b_lindbergh,2017,lamarr001rya,10700
Orlando Calixte,55,b_lindbergh,2017,caxito001orl,11905
Michael Choice,0,b_lindbergh,2017,choice001mic,11376
Michael McKenry,0,b_lindbergh,2017,mckenr001mic,9628
J.B. Shuck,0,b_lindbergh,2017,shuck-001jac,6677
Ben Rowen,0,b_lindbergh,2017,rowen-001ben,10983
Cesar Ramos,0,b_lindbergh,2017,ramos-001ces,3357
Cesar Valdez,140,b_lindbergh,2017,valdez001ces,9013
Kraig Sitton,0,b_lindbergh,2017,sitton001kra,
Jacob Turner,170,s_miller,2017,turner002jac,10185
Craig Stammen,329,s_miller,2017,stamme001cra,7274
Maikel Cleto,0,s_miller,2017,cleto-001mai,5529
Brett Oberholtzer,0,s_miller,2017,oberho001bre,3855
Tim Federowicz,14,s_miller,2017,federo001tim,8609
Jaff Decker,62,s_miller,2017,decker001jaf,7945
Lane Adams,122,s_miller,2017,adams-001lan,10767
T.J. House,10,s_miller,2017,ramos-001ces,3357
Cory Burns,0,s_miller,2017,burns-001cor,6620
Hernan Iribarren,0,s_miller,2017,iribar001her,4177
Rafael Ortega,143,s_miller,2018,ortega002raf,10323
Ryan Carpenter,107,s_miller,2018,carpen001rya,12699
Chris Carter,0,s_miller,2018,carter001ver,9911
Colten Brewer,49,s_miller,2018,brewer000col,12997
Richard Rodriguez,279,s_miller,2018,rodrig010ric,13549
Wade LeBlanc,662,s_miller,2018,leblan001wad,5221
Cristhian Adames,0,s_miller,2018,adames001cri,6013
Dylan Unsworth,0,s_miller,2018,unswor001dyl,
Erik Johnson,0,s_miller,2018,johnso009eri,12520
Evan Grills,0,s_miller,2018,grills001eva,
Dario Alvarez,0,j_sullivan,2018,alvare001dar,14239
Anthony Gose,0,j_sullivan,2018,gose--001ant,5097
Kris Medlen,25,j_sullivan,2018,medlen001kri,9417
Dustin Ackley,0,j_sullivan,2018,ackley001dus,10099
Perci Garner,0,j_sullivan,2018,garner001per,10887
Casey Lawrence,106,j_sullivan,2018,lawren001cas,11121
Mike Kickham,0,j_sullivan,2018,kickha001mic,11618
Brooks Pounders,72,j_sullivan,2018,pounde001bro,10387
Forrest Snow,0,j_sullivan,2018,snow--001for,
Matt Purke,0,j_sullivan,2018,purke-001mat,12831
Scott Barlow,65,b_lindbergh,2018,barlow000sco,14993
Mark Montgomery,0,b_lindbergh,2018,montgo000mar,
Michael Kelly,0,b_lindbergh,2018,kelly-011mic,12791
Ronny Rodriguez,206,b_lindbergh,2018,rodrig003ron,11875
Jumbo Diaz,0,b_lindbergh,2018,diaz--007jos,3397
Willians Astudillo,97,b_lindbergh,2018,astudi001wil,15608
Kevin Comer,0,b_lindbergh,2018,comer-000kev,
John Andreoli,67,b_lindbergh,2018,andreo000joh,13012
Christian Lopes,0,b_lindbergh,2018,lopes-000chr,13472
Curt Casali,156,b_lindbergh,2018,casali000cur,12510
Dylan Moore,292,s_miller,2019,moore-000dyl,18042
Kyle Ryan,263,s_miller,2019,ryan--001kyl,11753
Zach McAllister,0,s_miller,2019,mcalli001zac,2895
Ryan Court,25,s_miller,2019,court-000rya,12268
Hunter Cervenka,0,s_miller,2019,cerven001hun,10510
Vidal Nuno,0,s_miller,2019,nuno--001vid,9674
John Lamb,0,s_miller,2019,lamb--003joh,8493
Dilson Herrera,0,s_miller,2019,herrer000dil,14335
Deolis Guerra,6,s_miller,2019,guerra001deo,8410
Clint Coulter,0,s_miller,2019,coulte000cli,
Ryan Merritt,0,s_miller,2019,merrit000rya,13688
R.J. Alaniz,72,j_sullivan,2019,alaniz001rub,10819
Harold Ramirez,446,j_sullivan,2019,ramire002har,14387
Luke Bard,199,j_sullivan,2019,bard--001luk,14288
Brandon Brennan,195,j_sullivan,2019,brenna001bra,13527
Erik Johnson,0,j_sullivan,2019,johnso009eri,12520
Asher Wojciechowski,362,j_sullivan,2019,wojcie001ran,10836
Rookie Davis,52,j_sullivan,2019,davis-024wil,14962
Ariel Hernandez,0,j_sullivan,2019,hernan002ari,15603
Jairo Diaz,245,j_sullivan,2019,diaz--003jai,12774
Allen Craig,0,j_sullivan,2019,craig-002all,3433
Josh Lucas,69,j_sullivan,2019,lucas-002jos,11686
Terrance Gore,58,b_lindbergh,2019,gore--000ter,13658
Kieran Lovegrove,0,b_lindbergh,2019,lovegr000kie,
Deven Marrero,5,b_lindbergh,2019,marrer001dev,13325
Kelby Tomlinson,0,b_lindbergh,2019,tomlin000kel,13005
Jake Petricka,36,b_lindbergh,2019,petric001jac,10534
Kyle Zimmer,102,b_lindbergh,2019,zimmer000kyl,14169
Jon Berti,287,b_lindbergh,2019,berti-001jon,12037
Rymer Liriano,0,b_lindbergh,2019,lirian001rym,4779
Mason Williams,34,b_lindbergh,2019,willia001mas,11859
Ryan Lamarre,26,b_lindbergh,2019,lamarr001rya,10700
Santiago Casilla,0,b_lindbergh,2019,casill001san,2873
Patrick Wisdom,2,m_rowley,2020,wisdom000pat,13602
Shao-Ching Chiang,0,m_rowley,2020,chiang000sha,
Jimmy Yacabonis,13,m_rowley,2020,yacabo000jim,15157
Erik Kratz,39,m_rowley,2020,kratz-001eri,4403
Aaron Northcraft,0,m_rowley,2020,northc001aar,10218
Pedro Payano,0,m_rowley,2020,payano000ped,18313
Matt Szczur,0,m_rowley,2020,szczur001mat,11255
Greg Holland,112,m_rowley,2020,hollan001gre,7196
Sicnarf Loopstock,0,m_rowley,2020,loopst000sic,
Ryan Lavarnway,11,m_rowley,2020,lavarn001rya,8879
Kyle Finnegan,107,s_miller,2020,finneg000kyl,15009
Matt Harvey,65,s_miller,2020,harvey001mat,11713
Socrates Brito,0,s_miller,2020,brito-001soc,12944
Caleb Thielbar,82,s_miller,2020,thielb001cal,10078
Phillip Evans,45,s_miller,2020,evans-002phi,12950
Danny Coulombe,13,s_miller,2020,brito-001soc,13293
Ryan Cordell,8,s_miller,2020,cordel000rya,15181
Jose Marmolejos,115,s_miller,2020,godoy-000jos,15808
Tyler Heineman,53,s_miller,2020,heinem000tyl,13897
Ryan Merritt,0,s_miller,2020,merrit000rya,13688
Jose Mujica,23,b_lindbergh,2020,mujica001jos,
Alexander Guillen,0,b_lindbergh,2020,guille000ado,
Brady Lail,71,b_lindbergh,2020,lail--000bra,14707
Max Moroff,0,b_lindbergh,2020,moroff000max,14556
Gosuke Katoh,0,b_lindbergh,2020,katoh-000gos,15697
Jaime Schultz,0,b_lindbergh,2020,schult000jai,15066
Kohl Stewart,0,b_lindbergh,2020,stewar000koh,15502
Eric Stamets,0,b_lindbergh,2020,stamet000eri,13795
Mickey Jannis,0,b_lindbergh,2020,jannis001mic,11071
Rosell Herrera,0,b_lindbergh,2020,herrer001ros,11611
Mike Foltynewicz,586,b_lindbergh,2021,foltyn001mic,10811
Sam McWilliams,0,b_lindbergh,2021,mcwill000sam,
Pedro Strop,10,b_lindbergh,2021,strop-001ped,4070
Dwight Smith Jr.,0,b_lindbergh,2021,smith-000dwi,13473
Luis Avilan,0,b_lindbergh,2021,avilan001lui,2882
Nabil Crismatt,351,b_lindbergh,2021,crisma000nab,17732
Alexander Guillen,0,b_lindbergh,2021,guille000ado,
Scott Schebler,34,b_lindbergh,2021,schebl001sco,12225
Rafael Ortega,330,b_lindbergh,2021,ortega002raf,10323
Tzu-Wei Lin,0,b_lindbergh,2021,lin---000tzu,14678
Jason Vosler,82,m_rowley,2021,vosler000jas,16686
Sam Clay,214,m_rowley,2021,clay--000sam,16279
Joe Gatto,0,m_rowley,2021,gatto-000joe,
Tyler Heineman,0,m_rowley,2021,heinem000tyl,13897
Michael Ynoa,0,m_rowley,2021,ynoa--001mic,14093
Anthony Gose,24,m_rowley,2021,gose--001ant,5097
Connor Joe,211,m_rowley,2021,joe---000con,16572
Michael Hermosillo,38,m_rowley,2021,hermos000mig,16285
Gerson Bautista,0,m_rowley,2021,bautis001ger,19256
Yunior Marte,0,m_rowley,2021,marte-000yun,14416
José Iglesias,467,b_clemens,2022,iglesi001jos,10231
Maikel Franco,388,b_clemens,2022,franco001mai,12179
Shed Long Jr.,0,b_clemens,2022,long--000she,16542
Ty Blach,193,b_clemens,2022,blach-000ty-,14361
Anthony Bemboom,59,b_clemens,2022,bemboo000ant,13854
Kyle McGowin,0,b_clemens,2022,mcgowi000kyl,15071
Zack Erwin,0,b_clemens,2022,erwin-000zac,
Jon Duplantier,0,b_clemens,2022,duplan000jon,19546
Christian Bethancourt,352,b_clemens,2022,betanc001chr,10028
Richard Urena,0,b_clemens,2022,urena-000ric,16411
Brett Sullivan,0,m_rowley,2022,sulliv003bre,18217
Nick Plummer,31,m_rowley,2022,plumme000nic,18690
Christin Stewart,0,m_rowley,2022,stewar004chr,17714
Jhonny Pereda,0,m_rowley,2022,pereda000jho,
Dalton Kelly,0,m_rowley,2022,kelly-002dal,
Jake Newberry,0,m_rowley,2022,newber000jak,15136
Ryan Castellani,11,m_rowley,2022,castel002rya,16377
Dillon Thomas,14,m_rowley,2022,thomas000dil,12719
Hobie Harris,0,m_rowley,2022,harris000hob,18615
Jeison Guzman,0,m_rowley,2022,guzman000jei,
Joshua Fuentes,0,b_lindbergh,2022,fuente001jos,16885
Mark Leiter Jr.,282,b_lindbergh,2022,leiter002mar,15551
Matt Shoemaker,0,b_lindbergh,2022,shoema002mat,4776
Magneuris Sierra,96,b_lindbergh,2022,sierra000mag,17023
Johneshwy Fargas,0,b_lindbergh,2022,fargas000joh,16446
Jake Bauers,0,b_lindbergh,2022,bauers000jak,15194
Yolmer Sánchez,50,b_lindbergh,2022,sanche008car,11602
Alex Blandino,0,b_lindbergh,2022,blandi000ale,16271
Tyler White,0,b_lindbergh,2022,white-002tyl,15564
Braden Bishop,0,b_lindbergh,2022,bishop002bra,17806
Blake Perkins,168,m_rowley,2023,perkin000bla,19921
Casey Sadler,0,m_rowley,2023,sadler001cas,11209
Cole Tucker,10,m_rowley,2023,tucker000col,17326
Hobie Harris,91,m_rowley,2023,harris000hob,18615
Brent Honeywell,235,m_rowley,2023,honeyw002bre,16466
Cody Poteet,0,m_rowley,2023,poteet001cod,18769
Daniel Zamora,0,m_rowley,2023,zamora000dan,17811
Garrett Williams,0,m_rowley,2023,willia007gar,
Jacob Nottingham,0,m_rowley,2023,nottin000jac,16448
Trenton Brooks,0,m_rowley,2023,brooks000tre,
Guillermo Zuniga,0,b_lindbergh,2023,zuniga000gui,19588
Angel Perdomo,117,b_lindbergh,2023,perdom000ang,17759
Victor Reyes,0,b_lindbergh,2023,reyes-002vic,15487
Oscar Mercado,0,b_lindbergh,2023,mercad000osc,16375
Jakson Reetz,0,b_lindbergh,2023,reetz-000jak,17837
Travis Blankenhorn,37,b_lindbergh,2023,blanke002tra,18395
Pablo Reyes,198,b_lindbergh,2023,reyes-004pab,16357
Jonathan Villar,0,b_lindbergh,2023,villan001jon,10071
Jose De Leon,0,b_lindbergh,2023,deleon012jos,
Joe Rizzo,0,b_lindbergh,2023,rizzo-000joe,
Justin Garza,91,b_clemens,2023,garza-002jus,19784
Franmil Reyes,65,b_clemens,2023,reyes-003fra,14566
Jake Marisnick,83,b_clemens,2023,marisn001jac,11339
James Norwood,0,b_clemens,2023,norwoo000jam,16440
Christin Stewart,0,b_clemens,2023,stewar004chr,17714
Stephen Piscotty,0,b_clemens,2023,piscot001ste,13367
Derek Hill,50,b_clemens,2023,hill--000der,16947
Caleb Baragar,0,b_clemens,2023,barage000cal,19231
Daniel Ponce de Leon,0,b_clemens,2023,ponced001dan,16110
Zach Muckenhirn,31,b_clemens,2023,mucken000zac,20209
Ali Sanchez,96,b_lindbergh,2024,sanche002ali,18551
Ben Lively,632,b_lindbergh,2024,lively001edw,14932
Armando Alvarez,39,b_lindbergh,2024,alvare005man,
Rafael Lantigua,0,b_lindbergh,2024,lantig000raf,
Jake Cousins,155,b_lindbergh,2024,cousin000jak,21620
Yanathan Perlaza,0,b_lindbergh,2024,perlaz000yon,
Andres Chaparro,132,b_lindbergh,2024,chapar000and,
Jake Lamb,0,b_lindbergh,2024,lamb--002jac,13329
Luis Contreras,26,b_lindbergh,2024,contre002lui,
Tim Locastro,0,b_lindbergh,2024,locast000tim,15124
Joe Ross,321,b_clemens,2024,ross--000joe,12972
Adam Kolarek,0,b_clemens,2024,kolare001ada,10843
Daulton Jefferies,42,b_clemens,2024,jeffer000dau,19345
Peyton Battenfield,0,b_clemens,2024,batten000pey,25777
Jack O'Loughlin,47,b_clemens,2024,olough000jac,22690
Enoli Paredes,87,b_clemens,2024,parede000eno,20447
Rangel Ravelo,0,b_clemens,2024,ravelo001ran,10839
Tucker Barnhart,96,b_clemens,2024,barnha001tuc,10200
