player_name,team,fa_class,position,minor_league_level
Nate Adcock,Arizona Diamondbacks,2014,RHP,AAA
Shawn Camp,Arizona Diamondbacks,2014,RHP,AAA
Matt Wright,Arizona Diamondbacks,2014,RHP,AAA
Steve Garrison,Arizona Diamondbacks,2014,LHP,AA
Mike Brenly,Arizona Diamondbacks,2014,C,AAA
Ed Easley,Arizona Diamondbacks,2014,C,AAA
Rossmel Perez,Arizona Diamondbacks,2014,C,AA
Jake Fox,Arizona Diamondbacks,2014,1B,AAA
Taylor Harbin,Arizona Diamondbacks,2014,2B,AAA
Sawyer Carroll,Arizona Diamondbacks,2014,OF,AA
Dustin Martin,Arizona Diamondbacks,2014,OF,AA
Juan Rivera,Arizona Diamondbacks,2014,OF,AAA
Brad Snyder,Arizona Diamondbacks,2014,OF,AAA
Brett Cammons*,Atlanta Braves,2014,RHP,AA
Pat Egan,Atlanta Braves,2014,RHP,AA
Gary Moran,Atlanta Braves,2014,RHP,AA
Omar Poveda,Atlanta Braves,2014,RHP,AAA
Benino Pruneda*,Atlanta Braves,2014,RHP,AA
Joe Beimel,Atlanta Braves,2014,LHP,AAA
Juan Cedeno,Atlanta Braves,2014,LHP,AAA
Yohan Flande,Atlanta Braves,2014,LHP,AAA
Jose Lugo,Atlanta Braves,2014,LHP,Hi A
Shawn McGill,Atlanta Braves,2014,C,Hi A
Jose Yepez,Atlanta Braves,2014,C,AAA
Alden Carrithers,Atlanta Braves,2014,2B,AAA
Jaime Pedroza,Atlanta Braves,2014,SS,AA
Stefan Gartrell,Atlanta Braves,2014,OF,AAA
Greg Golson,Atlanta Braves,2014,OF,AA
Christian Marrero,Atlanta Braves,2014,OF,AA
Jose Martinez,Atlanta Braves,2014,OF,AA
Tim Alderson,Baltimore Orioles,2014,RHP,AAA
Tim Bascom,Baltimore Orioles,2014,RHP,AA
Eric Beaulac,Baltimore Orioles,2014,RHP,AAA
Zach Clark,Baltimore Orioles,2014,RHP,Hi A
Manny Delcarmen,Baltimore Orioles,2014,RHP,AAA
Daniel McCutchen,Baltimore Orioles,2014,RHP,AA
Jose Nivar,Baltimore Orioles,2014,RHP,Lo A
Stu Pomeranz*,Baltimore Orioles,2014,RHP,AA
Adam Russell,Baltimore Orioles,2014,RHP,AAA
Zech Zinicola,Baltimore Orioles,2014,RHP,AA
Mark Hendrickson,Baltimore Orioles,2014,LHP,AAA
Daniel Schlereth,Baltimore Orioles,2014,LHP,AAA
Allan de San Miguel,Baltimore Orioles,2014,C,Hi A
Luis Exposito,Baltimore Orioles,2014,C,AAA
Luis Martinez,Baltimore Orioles,2014,C,AA
Seth Loman,Baltimore Orioles,2014,1B,AA
Travis Adair,Baltimore Orioles,2014,2B,AA
Josh Horton,Baltimore Orioles,2014,2B,AA
Alex Liddi,Baltimore Orioles,2014,3B,AAA
Brandon Waring,Baltimore Orioles,2014,3B,AA
Zelous Wheeler,Baltimore Orioles,2014,3B,AAA
Yamaico Navarro,Baltimore Orioles,2014,SS,AAA
Niuman Romero,Baltimore Orioles,2014,SS,AA
George Barber,Baltimore Orioles,2014,OF,Lo A
Scott Beerer,Baltimore Orioles,2014,OF,AAA
Kyle Hudson,Baltimore Orioles,2014,OF,AA
Trayvon Robinson,Baltimore Orioles,2014,OF,AA
Anthony Carter,Boston Red Sox,2014,RHP,AAA
Miguel Celestino,Boston Red Sox,2014,RHP,AA
Terry Doyle,Boston Red Sox,2014,RHP,AAA
Marco Duarte,Boston Red Sox,2014,RHP,AAA
Charlie Haeger,Boston Red Sox,2014,RHP,AAA
Brock Huntzinger,Boston Red Sox,2014,RHP,AAA
Bobby Lanigan,Boston Red Sox,2014,RHP,AA
Gerardo Olivares,Boston Red Sox,2014,RHP,Lo A
Nate Striz,Boston Red Sox,2014,RHP,Hi A
Will Latimer,Boston Red Sox,2014,LHP,AAA
Matt Maloney,Boston Red Sox,2014,LHP,AA
Jack McGeary,Boston Red Sox,2014,LHP,Lo A
Eric Niesen,Boston Red Sox,2014,LHP,AA
Rafael Perez,Boston Red Sox,2014,LHP,AA
Manny Rivera,Boston Red Sox,2014,LHP,Lo A
Ryan Rowland-Smith,Boston Red Sox,2014,LHP,AAA
Alberto Rosario,Boston Red Sox,2014,C,AA
Matt Spring,Boston Red Sox,2014,C,AA
Mark Hamilton,Boston Red Sox,2014,1B,AAA
Brandon Snyder,Boston Red Sox,2014,1B,AAA
Ryan Dent,Boston Red Sox,2014,2B,AA
Justin Henry,Boston Red Sox,2014,2B,AAA
Drew Sutton,Boston Red Sox,2014,2B,AAA
Tony Thomas,Boston Red Sox,2014,2B,AAA
Mario Martinez,Boston Red Sox,2014,3B,Lo A
Jonathan Diaz,Boston Red Sox,2014,SS,AAA
Vladimir Frias,Boston Red Sox,2014,SS,Hi A
Ronald Bermudez,Boston Red Sox,2014,OF,AA
Quintin Berry,Boston Red Sox,2014,OF,AAA
Mitch Maier,Boston Red Sox,2014,OF,AAA
Alex Burnett,Chicago Cubs,2014,RHP,AAA
Yeiper Castillo,Chicago Cubs,2014,RHP,AA
Jaye Chapman,Chicago Cubs,2014,RHP,AAA
Johermyn Chavez,Chicago Cubs,2014,RHP,R
Rafael Dolis,Chicago Cubs,2014,RHP,AAA
Zach Putnam,Chicago Cubs,2014,RHP,AAA
Henry Rodriguez,Chicago Cubs,2014,RHP,AAA
Casey Weathers*,Chicago Cubs,2014,RHP,AA
Jeffry Antigua,Chicago Cubs,2014,LHP,AAA
Kyler Burke,Chicago Cubs,2014,LHP,HI A
Nathan Maldonado,Chicago Cubs,2014,C,Lo A
Brad Nelson,Chicago Cubs,2014,1B,AAA
Nate Samson,Chicago Cubs,2014,2B,AA
Edwin Maysonet,Chicago Cubs,2014,SS,AAA
Tim Torres,Chicago Cubs,2014,SS,AAA
Cole Gillespie,Chicago Cubs,2014,OF,AAA
Ty Wright,Chicago Cubs,2014,OF,AAA
Jason Berken,Chicago White Sox,2014,RHP,AAA
Scott Carroll,Chicago White Sox,2014,RHP,AA
Simon Castro,Chicago White Sox,2014,RHP,AAA
Johansel Delgado,Chicago White Sox,2014,RHP,DSL
Jhan Marinez,Chicago White Sox,2014,RHP,AAA
Travis Ishikawa,Chicago White Sox,2014,1B,AAA
Steve Tolleson,Chicago White Sox,2014,SS,AAA
Jimmy Gallagher,Chicago White Sox,2014,OF,AAA
Trevor Bell,Cincinnati Reds,2014,RHP,AAA
Parker Frazier,Cincinnati Reds,2014,RHP,AA
Yohan Pino,Cincinnati Reds,2014,RHP,AAA
Kanekoa Texeira,Cincinnati Reds,2014,RHP,AAA
Loek Van Mil,Cincinnati Reds,2014,RHP,AAA
Kevin Whelan,Cincinnati Reds,2014,RHP,AAA
Lee Hyde,Cincinnati Reds,2014,LHP,AA
Nevin Ashley,Cincinnati Reds,2014,C,AAA
Matt Kennelly,Cincinnati Reds,2014,C,AAA
Mike Hessman,Cincinnati Reds,2014,1B,AAA
Jason Donald,Cincinnati Reds,2014,2B,AAA
Corey Wimberly,Cincinnati Reds,2014,2B,AA
Emmanuel Burriss,Cincinnati Reds,2014,SS,AAA
Denis Phipps,Cincinnati Reds,2014,OF,AAA
Brandon Short,Cincinnati Reds,2014,OF,AA
Rob Bryson,Cleveland Indians,2014,RHP,AA
Paolo Espino,Cleveland Indians,2014,RHP,AAA
Jose Flores,Cleveland Indians,2014,RHP,AA
Jerry Gil,Cleveland Indians,2014,RHP,AAA
Francisco Jimenez,Cleveland Indians,2014,LHP,AA
J.C. Romero,Cleveland Indians,2014,LHP,AAA
Matt Colantonio,Cleveland Indians,2014,C,AAA
Matt LaPorta,Cleveland Indians,2014,1B,AAA
Luis Hernandez,Cleveland Indians,2014,2B,AAA
Nate Spears,Cleveland Indians,2014,2B,AAA
Juan Diaz,Cleveland Indians,2014,SS,AAA
Ezequiel Carrera,Cleveland Indians,2014,OF,AAA
Bo Greenwell,Cleveland Indians,2014,OF,Hi A
Jeremy Hermida,Cleveland Indians,2014,OF,AAA
Cedric Hunter,Cleveland Indians,2014,OF,AA
Bobby Cassevah,Colorado Rockies,2014,RHP,AAA
Roman Colon,Colorado Rockies,2014,RHP,AAA
Edgmer Escalona,Colorado Rockies,2014,RHP,AAA
Armando Galarraga,Colorado Rockies,2014,RHP,AAA
Sean Gallagher,Colorado Rockies,2014,RHP,AAA
Juan Gonzalez,Colorado Rockies,2014,RHP,AA
Tim Gustafson,Colorado Rockies,2014,RHP,AA
Michael Marbry,Colorado Rockies,2014,RHP,AA
Vianney Mayo,Colorado Rockies,2014,RHP,SS
Mike McClendon,Colorado Rockies,2014,RHP,AAA
Cory Riordan,Colorado Rockies,2014,RHP,AAA
Mike Solbach,Colorado Rockies,2014,RHP,AA
Isaiah Froneberger,Colorado Rockies,2014,LHP,AA
Nick Schmidt,Colorado Rockies,2014,LHP,AAA
Jonathan Vargas,Colorado Rockies,2014,LHP,SS
Lars Davis,Colorado Rockies,2014,C,AAA
Jose Gonzalez,Colorado Rockies,2014,C,AAA
Matt McBride,Colorado Rockies,2014,C,AAA
Michael Ramirez,Colorado Rockies,2014,C,Lo A
Henry Wrigley,Colorado Rockies,2014,1B,AA
Niko Gallego,Colorado Rockies,2014,2B,Hi A
Hernan Iribarren,Colorado Rockies,2014,2B,AAA
Reid Brignac,Colorado Rockies,2014,SS,AAA
Juan Crousset,Colorado Rockies,2014,OF,AA
Xavier Nady,Colorado Rockies,2014,OF,AAA
Shawn Hill,Detroit Tigers,2014,RHP,AAA
Jair Jurrjens,Detroit Tigers,2014,RHP,AAA
David Kopp,Detroit Tigers,2014,RHP,AA
Victor Larez,Detroit Tigers,2014,RHP,AA
Jon Link,Detroit Tigers,2014,RHP,AAA
Kelvin Perez,Detroit Tigers,2014,RHP,AA
Justin Souza,Detroit Tigers,2014,RHP,AA
Jess Todd,Detroit Tigers,2014,RHP,AAA
Michael Torrealba,Detroit Tigers,2014,RHP,Hi A
Ramon Garcia,Detroit Tigers,2014,LHP,AA
Jesus Guzman,Detroit Tigers,2014,LHP,DSL
Matt Hoffman,Detroit Tigers,2014,LHP,AAA
Pat Misch,Detroit Tigers,2014,LHP,AAA
Will Startup,Detroit Tigers,2014,LHP,AA
