player_name,team,fa_class,position,minor_league_level,first_name_lower,last_name_lower,normed_position
Nate Adcock,Arizona Diamondbacks,2013,RHP,AAA,nate,adcock,pitcher
Shawn Camp,Arizona Diamondbacks,2013,RHP,AAA,shawn,camp,pitcher
Matt Wright,Arizona Diamondbacks,2013,RHP,AAA,matt,wright,pitcher
Steve Garrison,Arizona Diamondbacks,2013,LHP,AA,steve,garrison,pitcher
Mike Brenly,Arizona Diamondbacks,2013,C,AAA,mike,brenly,batter
Ed Easley,Arizona Diamondbacks,2013,C,AAA,ed,easley,batter
Rossmel Perez,Arizona Diamondbacks,2013,C,AA,rossmel,perez,batter
Jake Fox,Arizona Diamondbacks,2013,1B,AAA,jake,fox,batter
Taylor Harbin,Arizona Diamondbacks,2013,2B,AAA,taylor,harbin,batter
Sawyer Carroll,Arizona Diamondbacks,2013,OF,AA,sawyer,carroll,batter
Dustin Martin,Arizona Diamondbacks,2013,OF,AA,dustin,martin,batter
Juan Rivera,Arizona Diamondbacks,2013,OF,AAA,juan,rivera,batter
Brad Snyder,Arizona Diamondbacks,2013,OF,AAA,brad,snyder,batter
Brett Cammons*,Atlanta Braves,2013,RHP,AA,brett,cammons*,pitcher
Pat Egan,Atlanta Braves,2013,RHP,AA,pat,egan,pitcher
Gary Moran,Atlanta Braves,2013,RHP,AA,gary,moran,pitcher
Omar Poveda,Atlanta Braves,2013,RHP,AAA,omar,poveda,pitcher
Benino Pruneda*,Atlanta Braves,2013,RHP,AA,benino,pruneda*,pitcher
Joe Beimel,Atlanta Braves,2013,LHP,AAA,joe,beimel,pitcher
Juan Cedeno,Atlanta Braves,2013,LHP,AAA,juan,cedeno,pitcher
Yohan Flande,Atlanta Braves,2013,LHP,AAA,yohan,flande,pitcher
Jose Lugo,Atlanta Braves,2013,LHP,Hi A,jose,lugo,pitcher
Shawn McGill,Atlanta Braves,2013,C,Hi A,shawn,mcgill,batter
Jose Yepez,Atlanta Braves,2013,C,AAA,jose,yepez,batter
Alden Carrithers,Atlanta Braves,2013,2B,AAA,alden,carrithers,batter
Jaime Pedroza,Atlanta Braves,2013,SS,AA,jaime,pedroza,batter
Stefan Gartrell,Atlanta Braves,2013,OF,AAA,stefan,gartrell,batter
Greg Golson,Atlanta Braves,2013,OF,AA,greg,golson,batter
Christian Marrero,Atlanta Braves,2013,OF,AA,christian,marrero,batter
