player_name,team,fa_class,position,minor_league_level
Palmer Betts,Arizona Diamondbacks,2017,RHP,R
Charles Brewer,Arizona Diamondbacks,2017,RHP,AA
Billy Buckner,Arizona Diamondbacks,2017,RHP,AAA
Matt Buschmann,Arizona Diamondbacks,2017,RHP,AAA
Matt Capps,Arizona Diamondbacks,2017,RHP,AAA
Edward Concepcion,Arizona Diamondbacks,2017,RHP,SS
Terry Doyle,Arizona Diamondbacks,2017,RHP,AA
Edgar Garcia,Arizona Diamondbacks,2017,RHP,AAA
Cole Johnson,Arizona Diamondbacks,2017,RHP,AA
Ryan Kussmaul,Arizona Diamondbacks,2017,RHP,AA
Jay Muhammad,Arizona Diamondbacks,2017,RHP,R
Blake Perry,Arizona Diamondbacks,2017,RHP,Hi A
Luis Ramirez,Arizona Diamondbacks,2017,RHP,AA
Markus Solbach,Arizona Diamondbacks,2017,RHP,Hi A
Jency Solis,Arizona Diamondbacks,2017,RHP,Hi A
Angelo Almonte,Arizona Diamondbacks,2017,LHP,DSL
Hector Hernandez,Arizona Diamondbacks,2017,LHP,Lo A
Dan Rohlfing,Arizona Diamondbacks,2017,C,AAA
Mark Thomas,Arizona Diamondbacks,2017,C,AAA
Justin Chigbogu,Arizona Diamondbacks,2017,1B,SS
Travis Denker,Arizona Diamondbacks,2017,3B,AA
Ed Lucas,Arizona Diamondbacks,2017,3B,AAA
Carlos Rivero,Arizona Diamondbacks,2017,3B,AAA
Robelys Reyes,Arizona Diamondbacks,2017,SS,Hi A
Todd Glaesmann,Arizona Diamondbacks,2017,OF,AAA
Maikel Cleto,Atlanta Braves,2017,RHP,AAA
Brandon Cunniff,Atlanta Braves,2017,RHP,AAA
Casey Kelly,Atlanta Braves,2017,RHP,AAA
Victor Mateo,Atlanta Braves,2017,RHP,AAA
Rob Wooten,Atlanta Braves,2017,RHP,AAA
Madison Younginer,Atlanta Braves,2017,RHP,AAA
Willians Astudillo,Atlanta Braves,2017,C,AA
Jordan Pacheco,Atlanta Braves,2017,3B,AAA
Daniel Castro,Atlanta Braves,2017,SS,AAA
Sean Kazmar,Atlanta Braves,2017,SS,AAA
Matt Lipka,Atlanta Braves,2017,OF,AAA
Pedro Beato,Baltimore Orioles,2017,RHP,AAA
Bobby Bundy,Baltimore Orioles,2017,RHP,AAA
David Hale,Baltimore Orioles,2017,RHP,AAA
Ivan Hernandez,Baltimore Orioles,2017,RHP,AA
Genison Reyes,Baltimore Orioles,2017,RHP,Hi A
David Richardson,Baltimore Orioles,2017,RHP,AA
Janser Severino,Baltimore Orioles,2017,RHP,Hi A
Jason Stoffel,Baltimore Orioles,2017,RHP,AAA
Jeff Beliveau,Baltimore Orioles,2017,LHP,AA
Andy Oliver,Baltimore Orioles,2017,LHP,AAA
Edgar Olmos,Baltimore Orioles,2017,LHP,AAA
Zach Booker,Baltimore Orioles,2017,C,AAA
Wynston Sawyer,Baltimore Orioles,2017,C,AA
Joey Terdoslavich,Baltimore Orioles,2017,1B,AA
Corban Joseph,Baltimore Orioles,2017,2B,AAA
Garabez Rosa,Baltimore Orioles,2017,2B,AA
Michael Almanzar,Baltimore Orioles,2017,3B,AAA
Ronarsy Ledesma,Baltimore Orioles,2017,3B,Lo A
Ozzie Martinez,Baltimore Orioles,2017,SS,AAA
Sharlon Schoop,Baltimore Orioles,2017,SS,AA
Sammie Starr,Baltimore Orioles,2017,SS,Lo A
Xavier Avery,Baltimore Orioles,2017,OF,AAA
Chris Dickerson,Baltimore Orioles,2017,OF,AA
L.J. Hoes,Baltimore Orioles,2017,OF,AAA
Zach Kapstein,Baltimore Orioles,2017,OF,Hi A
Quincy Latimore,Baltimore Orioles,2017,OF,AA
Mario Alcantara,Boston Red Sox,2017,RHP,Hi A
Mitch Atkins,Boston Red Sox,2017,RHP,AA
Keith Couch,Boston Red Sox,2017,RHP,AA
William Cuevas,Boston Red Sox,2017,RHP,AAA
Jacob Dahlstrand,Boston Red Sox,2017,RHP,AA
Roman Mendez,Boston Red Sox,2017,RHP,AAA
Dan Butler,Boston Red Sox,2017,C,AAA
Ali Solis,Boston Red Sox,2017,C,AAA
David Sopilka,Boston Red Sox,2017,C,Hi A
Cody Decker,Boston Red Sox,2017,1B,AA
Nate Freiman,Boston Red Sox,2017,1B,AA
Chris Marrero,Boston Red Sox,2017,1B,AAA
Chris Dominguez,Boston Red Sox,2017,3B,AAA
Jose Vinicio,Boston Red Sox,2017,SS,AAA
Brennan Boesch,Boston Red Sox,2017,OF,AAA
Ryan LaMarre,Boston Red Sox,2017,OF,AAA
Carlos Mesa,Boston Red Sox,2017,OF,Hi A
Henry Ramos,Boston Red Sox,2017,OF,AA
Rainel Rosario,Boston Red Sox,2017,OF,AA
Andury Acevedo,Chicago Cubs,2017,RHP,AAA
Frank Batista,Chicago Cubs,2017,RHP,AAA
Cole Brocker,Chicago Cubs,2017,RHP,AA
Aaron Crow,Chicago Cubs,2017,RHP,AAA
Stephen Fife,Chicago Cubs,2017,RHP,AAA
Miguel Mejia,Chicago Cubs,2017,RHP,AAA
Starling Peralta,Chicago Cubs,2017,RHP,AA
Drew Rucinski,Chicago Cubs,2017,RHP,AAA
Scott Barnes,Chicago Cubs,2017,LHP,AAA
Brian Matusz,Chicago Cubs,2017,LHP,AAA
Joe Thatcher,Chicago Cubs,2017,LHP,AAA
Tim Federowicz,Chicago Cubs,2017,C,AAA
David Freitas,Chicago Cubs,2017,C,AA
Logan Watkins,Chicago Cubs,2017,2B,AAA
Kris Negron,Chicago Cubs,2017,SS,AAA
Lane Adams,Chicago Cubs,2017,OF,AAA
Kelly Dugan,Chicago Cubs,2017,OF,AA
Matt Murton,Chicago Cubs,2017,OF,AAA
Juan Perez,Chicago Cubs,2017,OF,AAA
Miguel Chalas,Chicago White Sox,2017,RHP,AAA
Matt Heidenreich,Chicago White Sox,2017,RHP,AA
John Holdzkom,Chicago White Sox,2017,RHP,AAA
Colin Kleven,Chicago White Sox,2017,RHP,AA
Euclides Leyer,Chicago White Sox,2017,RHP,AA
Kameron Loe,Chicago White Sox,2017,RHP,AAA
Matt Lollis,Chicago White Sox,2017,RHP,AAA
Joselo Pinales,Chicago White Sox,2017,RHP,DSL
Peter Tago,Chicago White Sox,2017,RHP,AA
Jacob Turner,Chicago White Sox,2017,RHP,AAA
Chris Volstad,Chicago White Sox,2017,RHP,AAA
Yojensy Arias,Chicago White Sox,2017,LHP,DSL
Brett Hayes,Chicago White Sox,2017,C,AAA
Marcus Lemon,Chicago White Sox,2017,SS,AA
Andy Parrino,Chicago White Sox,2017,SS,AAA
Jason Bourgeois,Chicago White Sox,2017,OF,AAA
Tony Campana,Chicago White Sox,2017,OF,AAA
Slade Heathcott,Chicago White Sox,2017,OF,AAA
Eudy Pina,Chicago White Sox,2017,OF,AA
Josh Richmond,Chicago White Sox,2017,OF,AA
J.B. Shuck,Chicago White Sox,2017,OF,AAA
Caleb Cotham,Cincinnati Reds,2017,RHP,AAA
Dayan Diaz,Cincinnati Reds,2017,RHP,AAA
