player_name,team,fa_class,position
BSergio Alcantara,Arizona D-backs,2024,3B
Phillip Evans,Arizona D-backs,2024,3B
Ali Sanchez,Arizona D-backs,2024,C
Juan Centeno,Arizona D-backs,2024,C
Tyler Gilbert,Arizona D-backs,2024,LHP
Tyler Ferguson,Arizona D-backs,2024,RHP
Stephen Nogosek,Arizona D-backs,2024,RHP
Austin Adams,Arizona D-backs,2024,RHP
Michel Otanez,Arizona D-backs,2024,RHP
Raffi Vizcaino,Arizona D-backs,2024,RHP
Atlanta Braves Jesus Aguilar,Atlanta Braves,2024,1B
Drew Lugbauer,Atlanta Braves,2024,1B
Hoy Park,Atlanta Braves,2024,2B
Hudson Potts,Atlanta Braves,2024,3B
Charlie Culberson,Atlanta Braves,2024,3B
Joe Dunand,Atlanta Braves,2024,3B
Joshua Fuentes,Atlanta Braves,2024,3B
Yolmer Sanchez,Atlanta Braves,2024,3B
Hendrik Clementina,Atlanta Braves,2024,C
Dominic Miroglio,Atlanta Braves,2024,C
Joe Hudson,Atlanta Braves,2024,C
Arden Pabst,Atlanta Braves,2024,C
Wiston Cerrato,Atlanta Braves,2024,C
Magneuris Sierra,Atlanta Braves,2024,C
FDalton Guthrie,Atlanta Braves,2024,C
FJacob Pearson,Atlanta Braves,2024,LF
Hayden Deal,Atlanta Braves,2024,LHP
Nick Margevicius,Atlanta Braves,2024,LHP
Domingo Robles,Atlanta Braves,2024,LHP
Justus Sheffield,Atlanta Braves,2024,LHP
Adam Kolarek,Atlanta Braves,2024,LHP
Brian Moran,Atlanta Braves,2024,LHP
Danny Young,Atlanta Braves,2024,LHP
Jose Montilla,Atlanta Braves,2024,RHP
Beau Burrows,Atlanta Braves,2024,RHP
Seth Elledge,Atlanta Braves,2024,RHP
Grant Holmes,Atlanta Braves,2024,RHP
Mike Morin,Atlanta Braves,2024,RHP
Alan Rangel,Atlanta Braves,2024,RHP
Miguel Pena,Atlanta Braves,2024,RHP
Tyree Thompson,Atlanta Braves,2024,RHP
Nolan Martinez,Atlanta Braves,2024,RHP
Baltimore Orioles Lewin Diaz,Baltimore Orioles,2024,1B
Joseph Rosa,Baltimore Orioles,2024,2B
Gilbert Lara,Baltimore Orioles,2024,3B
Ramon Rodriguez,Baltimore Orioles,2024,C
Tim Susnara,Baltimore Orioles,2024,C
