internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position_cat,chadwick_returned
4270,Palmer Betts,ARI,Betts,Palmer,2017,,betts-002wil,,,2014,2016,pitcher,one
919,Charles Brewer,ARI,Brewer,Charles,2017,9155,brewer001cha,2013,2013,2009,2017,pitcher,one
484,Billy Buckner,ARI,Buckner,Billy,2017,8253,buckne003wil,2007,2014,2004,2016,pitcher,one
3709,Matt Buschmann,ARI,Buschmann,Matt,2017,3832,buschm001mat,2016,2016,2006,2016,pitcher,one
3714,Matt Capps,ARI,Capps,Matt,2017,4788,capps-001mat,2005,2012,2002,2016,pitcher,one
1669,Edward Concepcion,ARI,Concepcion,Edward,2017,,,,,,,pitcher,zero
5096,Terry Doyle,ARI,Doyle,Terry,2017,,doyle-005joh,,,2008,2016,pitcher,one
1632,Edgar Garcia,ARI,Garcia,Edgar,2017,,garcia001edg,,,2005,2022,pitcher,one
1099,Cole Johnson,ARI,Johnson,Cole,2017,,johnso000col,,,2011,2016,pitcher,one
4737,Ryan Kussmaul,ARI,Kussmaul,Ryan,2017,,kussma001rya,,,2009,2022,pitcher,one
2474,Jay Muhammad,ARI,Muhammad,Jay,2017,,muhamm000jay,,,2014,2018,pitcher,one
508,Blake Perry,ARI,Perry,Blake,2017,,perry-001bla,,,2010,2017,pitcher,one
3565,Luis Ramirez,ARI,Ramirez,Luis,2017,,ramire010lui,,,2010,2024,pitcher,one
3684,Markus Solbach,ARI,Solbach,Markus,2017,,solbac000mar,,,2011,2022,pitcher,one
2532,Jency Solis,ARI,Solis,Jency,2017,,solis-001jen,,,2010,2016,pitcher,one
333,Angelo Almonte,ARI,Almonte,Angelo,2017,,almont000ang,,,2016,2016,pitcher,one
2098,Hector Hernandez,ARI,Hernandez,Hector,2017,,hernan003hec,,,2009,2023,pitcher,one
1240,Dan Rohlfing,ARI,Rohlfing,Dan,2017,,rohlfi001dan,,,2007,2017,batter,one
3679,Mark Thomas,ARI,Thomas,Mark,2017,,thomas009mar,,,2007,2016,batter,one
3185,Justin Chigbogu,ARI,Chigbogu,Justin,2017,,chigbo000jus,,,2012,2017,batter,one
5210,Travis Denker,ARI,Denker,Travis,2017,6155,denker001tra,2008,2008,2003,2017,batter,one
1616,Ed Lucas,ARI,Lucas,Ed,2017,7532,lucas-001edw,2013,2014,2004,2016,batter,one
850,Carlos Rivero,ARI,Rivero,Carlos,2017,1136,rivero001car,2014,2014,2006,2023,batter,one
4592,Robelys Reyes,ARI,Reyes,Robelys,2017,,reyes-004rob,,,2010,2019,batter,one
5156,Todd Glaesmann,ARI,Glaesmann,Todd,2017,,glaesm001tod,,,2009,2017,batter,one
3606,Maikel Cleto,ATL,Cleto,Maikel,2017,5529,cleto-001mai,2011,2014,2007,2021,pitcher,one
579,Brandon Cunniff,ATL,Cunniff,Brandon,2017,11509,cunnif001bra,2015,2016,2010,2022,pitcher,one
870,Casey Kelly,ATL,Kelly,Casey,2017,9174,kelly-001cas,2012,2018,2008,2024,pitcher,one
5365,Victor Mateo,ATL,Mateo,Victor,2017,,mateo-002vic,,,2007,2017,pitcher,one
4576,Rob Wooten,ATL,Wooten,Rob,2017,8532,wooten002rob,2013,2015,2008,2019,pitcher,one
3602,Madison Younginer,ATL,Younginer,Madison,2017,10636,youngi001mad,2016,2016,2010,2020,pitcher,one
5459,Willians Astudillo,ATL,Astudillo,Willians,2017,15608,astudi001wil,2018,2022,2009,2024,batter,one
2875,Jordan Pacheco,ATL,Pacheco,Jordan,2017,2677,pachec002jor,2011,2016,2007,2021,batter,one
1259,Daniel Castro,ATL,Castro,Daniel,2017,15450,castro001dan,2015,2018,2010,2024,batter,one
4888,Sean Kazmar,ATL,Kazmar,Sean,2017,7349,kazmar001sea,2008,2021,2004,2021,batter,one
3747,Matt Lipka,ATL,Lipka,Matt,2017,,lipka-003mat,,,2010,2022,batter,one
4326,Pedro Beato,BAL,Beato,Pedro,2017,1330,beato-001ped,2011,2017,2006,2019,pitcher,one
520,Bobby Bundy,BAL,Bundy,Bobby,2017,,bundy-002rob,,,2008,2017,pitcher,one
1369,David Hale,BAL,Hale,David,2017,9756,hale--001dav,2013,2021,2009,2021,pitcher,one
2201,Ivan Hernandez,BAL,Hernandez,Ivan,2017,,hernan002iva,,,2010,2022,pitcher,one
1978,Genison Reyes,BAL,Reyes,Genison,2017,,reyes-000gen,,,2011,2016,pitcher,one
1389,David Richardson,BAL,Richardson,David,2017,,richar007dav,,,2010,2023,pitcher,one
2392,Janser Severino,BAL,Severino,Janser,2017,,,,,,,pitcher,zero
2459,Jason Stoffel,BAL,Stoffel,Jason,2017,,stoffe001jas,,,2009,2017,pitcher,one
2496,Jeff Beliveau,BAL,Beliveau,Jeff,2017,8504,belive001jef,2012,2018,2008,2018,pitcher,one
293,Andy Oliver,BAL,Oliver,Andy,2017,10257,oliver001and,2010,2011,2009,2017,pitcher,one
1638,Edgar Olmos,BAL,Olmos,Edgar,2017,10174,olmos-001edg,2013,2015,2008,2018,pitcher,one
5596,Zach Booker,BAL,Booker,Zach,2017,,,,,,,batter,zero
5492,Wynston Sawyer,BAL,Sawyer,Wynston,2017,,sawyer001wyn,,,2010,2019,batter,one
2737,Joey Terdoslavich,BAL,Terdoslavich,Joey,2017,10593,terdos001jos,2013,2015,2010,2023,batter,one
