internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,key_bbref_minors,mlb_played_first,mlb_played_last,pro_played_first,pro_played_last,position,position_cat,chadwick_returned
525,Tyler Badamo,ARI,Badamo,Tyler,2018,,badamo000tyl,,,2014,2018,RHP,pitcher,one
239,J.R. Bradley,ARI,Bradley,J. R.,2018,,bradle006jam,,,2010,2017,RHP,pitcher,one
189,Erik Davis,ARI,Davis,Erik,2018,8422,davis-003eri,2013,2013,2008,2018,RHP,pitcher,one
130,Damian Defrank,ARI,Defrank,Damian,2018,,defran000dam,,,2012,2017,RHP,pitcher,one
399,Miller Diaz,ARI,Díaz,Miller,2018,,diaz--001mil,,,2009,2017,RHP,pitcher,one
236,Ivan Pineyro,ARI,Piñeyro,Ivan,2018,,pineyr000iva,,,2011,2023,RHP,pitcher,one
536,Tyler Vail,ARI,Vail,Tyler,2018,,vail--001tyl,,,2010,2024,RHP,pitcher,one
186,Eric Jokisch,ARI,Jokisch,Eric,2018,11157,jokisc001eri,2014,2014,2010,2023,LHP,pitcher,one
3,Aaron Laffey,ARI,Laffey,Aaron,2018,6248,laffey001aar,2007,2015,2003,2018,LHP,pitcher,one
90,Cesilio Pimentel,ARI,Pimentel,Cesilio,2018,,piment000ces,,,2011,2024,LHP,pitcher,one
552,Willians Astudillo,ARI,Astudillo,Willians,2018,15608,astudi001wil,2018,2022,2009,2024,C,batter,one
428,Oscar Hernandez,ARI,Hernandez,Oscar,2018,13490,hernan002osc,2015,2020,2010,2023,C,batter,zero
30,Angel Franco,ARI,Franco,Angel,2018,,franco001ang,,,2007,2017,2B,batter,one
136,Danny Lockhart,ARI,Lockhart,Danny,2018,,lockha000dan,,,2011,2019,2B,batter,zero
520,Travis Denker,ARI,Denker,Travis,2018,6155,denker001tra,2008,2008,2003,2017,3B,batter,one
293,Jorge Flores,ARI,Flores,Jorge,2018,,flores003jor,,,2012,2024,SS,batter,one
544,Vladimir Frias,ARI,Frias,Vladimir,2018,,frias-001vla,,,2008,2022,SS,batter,one
429,Oswaldo Arcia,ARI,Arcia,Oswaldo,2018,10306,arcia-001osw,2013,2016,2008,2024,OF,batter,one
181,Emilio Bonifacio,ARI,Bonifácio,Emilio,2018,4054,bonifa001emi,2007,2020,2003,2023,OF,batter,one
570,Zach Borenstein,ARI,Borenstein,Zach,2018,,borens000zac,,,2011,2020,OF,batter,one
319,Kelly Dugan,ARI,Dugan,Kelly,2018,,dugan-001kel,,,2009,2024,OF,batter,one
184,Enrique Burgos,ATL,Burgos,Enrique,2018,3895,burgos002enr,2015,2016,2008,2024,RHP,pitcher,one
455,Rhiner Cruz,ATL,Cruz,Rhiner,2018,711,cruz--001rhi,2012,2018,2004,2023,RHP,pitcher,one
333,Kris Medlen,ATL,Medlen,Kris,2018,9417,medlen001kri,2009,2018,2006,2018,RHP,pitcher,one
138,Danny Reynolds,ATL,Reynolds,Dan,2018,,reynol002dan,,,2010,2019,RHP,pitcher,one
275,Joe Rogers,ATL,Rogers,Joe,2018,,rogers000joe,,,2012,2017,LHP,pitcher,one
277,Joey Meneses,ATL,Meneses,Joey,2018,14366,menese000joe,2022,2024,2011,2024,1B,batter,one
335,Kyle Kubitza,ATL,Kubitza,Kyle,2018,12148,kubitz000kyl,2015,2015,2011,2018,3B,batter,one
487,Sean Kazmar,ATL,Kazmar,Sean,2018,7349,kazmar001sea,2008,2021,2004,2021,SS,batter,one
180,Emerson Landoni,ATL,Landoni,Emerson,2018,,landon001eme,,,2006,2017,SS,batter,one
382,Matt Tuiasosopo,ATL,Tuiasosopo,Matt,2018,8272,tuiaso001mat,2008,2016,2004,2018,OF,batter,one
407,Nate Adcock,BAL,Adcock,Nate,2018,3282,adcock001nat,2011,2015,2006,2015,RHP,pitcher,zero
23,Andrew Bellatti,BAL,Bellatti,Andrew,2018,10657,bellat001and,2015,2023,2009,2024,RHP,pitcher,one
57,Bobby Bundy,BAL,Bundy,Bobby,2018,,bundy-002rob,,,2008,2017,RHP,pitcher,one
256,Jason Garcia,BAL,García,Jason,2018,12143,garcia002jas,2015,2015,2010,2024,RHP,pitcher,one
264,Jefri Hernandez,BAL,Hernandez,Jefri,2018,,hernan001jef,,,2008,2020,RHP,pitcher,one
485,Scott McGough,BAL,McGough,Scott,2018,12056,mcgoug001sco,2015,2024,2011,2024,RHP,pitcher,one
456,Richard Rodriguez,BAL,Rodríguez,Richard,2018,13549,rodrig010ric,2017,2021,2010,2024,RHP,pitcher,one
203,Franderlin Romero,BAL,Romero,Franderlin,2018,,romero003fra,,,2010,2019,RHP,pitcher,zero
317,Karl Triana,BAL,Triana,Karl,2018,,triana000kar,,,2011,2017,RHP,pitcher,one
47,Austin Urban,BAL,Urban,Austin,2018,,urban-001aus,,,2013,2016,RHP,pitcher,one
537,Tyler Wilson,BAL,Wilson,Tyler,2018,12691,wilson005phi,2015,2017,2011,2020,RHP,pitcher,one
260,Jayson Aquino,BAL,Aquino,Jayson,2018,13150,aquino001jay,2016,2017,2010,2018,LHP,pitcher,one
509,Tim Berry,BAL,Berry,Tim,2018,,berry-001tim,,,2010,2018,LHP,pitcher,one
24,Andrew Faulkner,BAL,Faulkner,Andrew,2018,12982,faulkn000and,2015,2016,2011,2019,LHP,pitcher,one
451,Raudel Lazo,BAL,Lazo,Raudel,2018,14077,lazo--000rau,2015,2015,2008,2019,LHP,pitcher,one
348,Lucas Luetge,BAL,Luetge,Lucas,2018,8337,luetge001luc,2012,2023,2008,2024,LHP,pitcher,one
432,Paco Rodriguez,BAL,Rodríguez,Paco,2018,13398,rodrig003ste,2012,2015,2012,2019,LHP,pitcher,one
102,Chris O’Brien,BAL,O’Brien,Chris,2018,,obrien002chr,,,2011,2017,C,batter,zero
43,Audry Perez,BAL,Pérez,Audry,2018,9176,perez-001aud,2013,2014,2008,2020,C,batter,one
9,Aderlin Rodriguez,BAL,Rodríguez,Aderlin,2018,,rodrig001ade,,,2009,2024,1B,batter,one
493,Sharlon Schoop,BAL,Schoop,Sharlon,2018,,schoop001sha,,,2005,2023,2B,batter,one
14,Alex Castellanos,BAL,Castellanos,Alex,2018,7223,castel001ale,2012,2013,2008,2018,3B,batter,one
100,Chris Johnson,BAL,Johnson,Chris,2018,1191,johnso002chr,2009,2016,2006,2017,3B,batter,one
207,Garabez Rosa,BAL,Rosa,Garabez,2018,,rosa--001gar,,,2007,2023,3B,batter,one
460,Robert Andino,BAL,Andino,Robert,2018,4900,andino001rob,2005,2016,2002,2017,SS,batter,one
213,Glynn Davis,BAL,Davis,Glynn,2018,,davis-000gly,,,2011,2017,OF,batter,one
96,Chris Dickerson,BAL,Dickerson,Chris,2018,7095,dicker002chr,2008,2014,2003,2017,OF,batter,one
346,Logan Schafer,BAL,Schafer,Logan,2018,7937,schafe001log,2011,2016,2008,2017,OF,batter,one
147,David Washington,BAL,Washington,David,2018,12110,washin003dav,2017,2017,2009,2024,OF,batter,one
242,Jacob Dahlstrand,BOS,Dahlstrand,Jacob,2018,,dahlst001jac,,,2010,2017,RHP,pitcher,one
494,Shawn Haviland,BOS,Haviland,Shawn,2018,,havila001sha,,,2008,2017,RHP,pitcher,one
401,Mitchell Osnowitz,BOS,Osnowitz,Mitchell,2018,,osnowi000mit,,,2014,2022,RHP,pitcher,one
177,Elih Villanueva,BOS,Villanueva,Elih,2018,8796,villan002eli,2011,2011,2008,2024,RHP,pitcher,one
169,Edgar Olmos,BOS,Olmos,Edgar,2018,10174,olmos-001edg,2013,2015,2008,2018,LHP,pitcher,one
131,Dan Butler,BOS,Butler,Dan,2018,9968,butler001dan,2014,2018,2009,2018,C,batter,one
512,Tim Roberson,BOS,Roberson,Tim,2018,,robers000tim,,,2011,2017,C,batter,one
123,Conrad Gregor,BOS,Gregor,Conrad,2018,,gregor001con,,,2013,2019,1B,batter,one
222,Heiker Meneses,BOS,Meneses,Heiker,2018,,menses001hei,,,2008,2022,2B,batter,one
371,Matt Dominguez,BOS,Dominguez,Matt,2018,4903,doming001mat,2011,2016,2007,2018,3B,batter,one
398,Mike Olt,BOS,Olt,Mike,2018,10698,olt---001mic,2012,2015,2010,2019,3B,batter,one
472,Ryan Court,BOS,Court,Ryan,2018,12268,court-000rya,2019,2019,2011,2019,SS,batter,one
68,Brian Bogusevic,BOS,Bogusevic,Brian,2018,4719,boguse001bri,2010,2015,2005,2017,OF,batter,one
504,Steve Selsky,BOS,Selsky,Steve,2018,12957,selsky002ste,2016,2017,2011,2018,OF,batter,one
225,Henry Urrutia,BOS,Urrutia,Henry,2018,14441,urruti000hen,2013,2015,2005,2024,OF,batter,one
483,Scott Carroll,CHC,Carroll,Scott,2018,888,carrol001sco,2014,2016,2007,2018,RHP,pitcher,one
551,Williams Perez,CHC,Pérez,Williams,2018,11592,perez-003wil,2015,2016,2009,2023,RHP,pitcher,one
265,Jemile Weeks,CHC,Weeks,Jemile,2018,2498,weeks-001jem,2011,2016,2008,2018,2B,batter,one
97,Chris Dominguez,CHC,Dominguez,Chris,2018,9718,doming001chr,2014,2015,2009,2019,3B,batter,one
395,Mike Freeman,CHC,Freeman,Mike,2018,11241,freema001mic,2016,2021,2010,2021,SS,batter,one
430,Ozzie Martinez,CHC,Martinez,Ozzie,2018,,martin003osv,,,1994,2007,SS,batter,one
179,Elliot Soto,CHC,Soto,Elliot,2018,11155,soto--001ell,2020,2020,2010,2024,SS,batter,one
281,John Andreoli,CHC,Andreoli,John,2018,13012,andreo000joh,2018,2021,2011,2022,OF,batter,one
