internal_id,player_name,first_name,last_name,team,fa_class,position,normed_position,minor_league_level
4270,Palmer Betts,Palmer,Betts,ARI,2017,RHP,pitcher,R
919,Charles Brewer,Charles,Brewer,ARI,2017,RHP,pitcher,AA
484,Billy Buckner,Billy,Buckner,ARI,2017,RHP,pitcher,AAA
3709,Matt Buschmann,Matt,Buschmann,ARI,2017,RHP,pitcher,AAA
3714,Matt Capps,Matt,Capps,ARI,2017,RHP,pitcher,AAA
1669,Edward Concepcion,Edward,Concepcion,ARI,2017,RHP,pitcher,SS
5096,Terry Doyle,Terry,Doyle,ARI,2017,RHP,pitcher,AA
1632,Edgar Garcia,Edgar,Garcia,ARI,2017,RHP,pitcher,AAA
1099,Cole Johnson,Cole,Johnson,ARI,2017,RHP,pitcher,AA
4737,Ryan Kussmaul,Ryan,Kussmaul,ARI,2017,RHP,pitcher,AA
2474,Jay Muhammad,Jay,Muhammad,ARI,2017,RHP,pitcher,R
508,Blake Perry,Blake,Perry,ARI,2017,RHP,pitcher,Hi A
3565,Luis Ramirez,Luis,Ramirez,ARI,2017,RHP,pitcher,AA
3684,Markus Solbach,Markus,Solbach,ARI,2017,RHP,pitcher,Hi A
2532,Jency Solis,Jency,Solis,ARI,2017,RHP,pitcher,Hi A
333,Angelo Almonte,Angelo,Almonte,ARI,2017,LHP,pitcher,DSL
2098,Hector Hernandez,Hector,Hernandez,ARI,2017,LHP,pitcher,Lo A
1240,Dan Rohlfing,Dan,Rohlfing,ARI,2017,C,batter,AAA
3679,Mark Thomas,Mark,Thomas,ARI,2017,C,batter,AAA
3185,Justin Chigbogu,Justin,Chigbogu,ARI,2017,1B,batter,SS
5210,Travis Denker,Travis,Denker,ARI,2017,3B,batter,AA
1616,Ed Lucas,Ed,Lucas,ARI,2017,3B,batter,AAA
850,Carlos Rivero,Carlos,Rivero,ARI,2017,3B,batter,AAA
4592,Robelys Reyes,Robelys,Reyes,ARI,2017,SS,batter,Hi A
5156,Todd Glaesmann,Todd,Glaesmann,ARI,2017,OF,batter,AAA
3606,Maikel Cleto,Maikel,Cleto,ATL,2017,RHP,pitcher,AAA
579,Brandon Cunniff,Brandon,Cunniff,ATL,2017,RHP,pitcher,AAA
870,Casey Kelly,Casey,Kelly,ATL,2017,RHP,pitcher,AAA
5365,Victor Mateo,Victor,Mateo,ATL,2017,RHP,pitcher,AAA
4576,Rob Wooten,Rob,Wooten,ATL,2017,RHP,pitcher,AAA
3602,Madison Younginer,Madison,Younginer,ATL,2017,RHP,pitcher,AAA
5459,Willians Astudillo,Willians,Astudillo,ATL,2017,C,batter,AA
2875,Jordan Pacheco,Jordan,Pacheco,ATL,2017,3B,batter,AAA
1259,Daniel Castro,Daniel,Castro,ATL,2017,SS,batter,AAA
4888,Sean Kazmar,Sean,Kazmar,ATL,2017,SS,batter,AAA
3747,Matt Lipka,Matt,Lipka,ATL,2017,OF,batter,AAA
4326,Pedro Beato,Pedro,Beato,BAL,2017,RHP,pitcher,AAA
520,Bobby Bundy,Bobby,Bundy,BAL,2017,RHP,pitcher,AAA
1369,David Hale,David,Hale,BAL,2017,RHP,pitcher,AAA
2201,Ivan Hernandez,Ivan,Hernandez,BAL,2017,RHP,pitcher,AA
1978,Genison Reyes,Genison,Reyes,BAL,2017,RHP,pitcher,Hi A
1389,David Richardson,David,Richardson,BAL,2017,RHP,pitcher,AA
2392,Janser Severino,Janser,Severino,BAL,2017,RHP,pitcher,Hi A
2459,Jason Stoffel,Jason,Stoffel,BAL,2017,RHP,pitcher,AAA
2496,Jeff Beliveau,Jeff,Beliveau,BAL,2017,LHP,pitcher,AA
293,Andy Oliver,Andy,Oliver,BAL,2017,LHP,pitcher,AAA
1638,Edgar Olmos,Edgar,Olmos,BAL,2017,LHP,pitcher,AAA
5596,Zach Booker,Zach,Booker,BAL,2017,C,batter,AAA
5492,Wynston Sawyer,Wynston,Sawyer,BAL,2017,C,batter,AA
2737,Joey Terdoslavich,Joey,Terdoslavich,BAL,2017,1B,batter,AA
1147,Corban Joseph,Corban,Joseph,BAL,2017,2B,batter,AAA
1958,Garabez Rosa,Garabez,Rosa,BAL,2017,2B,batter,AA
3849,Michael Almanzar,Michael,Almanzar,BAL,2017,3B,batter,AAA
4658,Ronarsy Ledesma,Ronarsy,Ledesma,BAL,2017,3B,batter,Lo A
4259,Ozzie Martinez,Ozzie,Martinez,BAL,2017,SS,batter,AAA
4941,Sharlon Schoop,Sharlon,Schoop,BAL,2017,SS,batter,AA
4821,Sammie Starr,Sammie,Starr,BAL,2017,SS,batter,Lo A
5502,Xavier Avery,Xavier,Avery,BAL,2017,OF,batter,AAA
968,Chris Dickerson,Chris,Dickerson,BAL,2017,OF,batter,AA
3401,L.J. Hoes,L.J.,Hoes,BAL,2017,OF,batter,AAA
5611,Zach Kapstein,Zach,Kapstein,BAL,2017,OF,batter,Hi A
4391,Quincy Latimore,Quincy,Latimore,BAL,2017,OF,batter,AA
3655,Mario Alcantara,Mario,Alcantara,BOS,2017,RHP,pitcher,Hi A
4006,Mitch Atkins,Mitch,Atkins,BOS,2017,RHP,pitcher,AA
3245,Keith Couch,Keith,Couch,BOS,2017,RHP,pitcher,AA
5454,William Cuevas,William,Cuevas,BOS,2017,RHP,pitcher,AAA
2255,Jacob Dahlstrand,Jacob,Dahlstrand,BOS,2017,RHP,pitcher,AA
4644,Roman Mendez,Roman,Mendez,BOS,2017,RHP,pitcher,AAA
1228,Dan Butler,Dan,Butler,BOS,2017,C,batter,AAA
211,Ali Solis,Ali,Solis,BOS,2017,C,batter,AAA
1394,David Sopilka,David,Sopilka,BOS,2017,C,batter,Hi A
1079,Cody Decker,Cody,Decker,BOS,2017,1B,batter,AA
4068,Nate Freiman,Nate,Freiman,BOS,2017,1B,batter,AA
985,Chris Marrero,Chris,Marrero,BOS,2017,1B,batter,AAA
970,Chris Dominguez,Chris,Dominguez,BOS,2017,3B,batter,AAA
3026,Jose Vinicio,Jose,Vinicio,BOS,2017,SS,batter,AAA
623,Brennan Boesch,Brennan,Boesch,BOS,2017,OF,batter,AAA
4738,Ryan LaMarre,Ryan,LaMarre,BOS,2017,OF,batter,AAA
824,Carlos Mesa,Carlos,Mesa,BOS,2017,OF,batter,Hi A
2118,Henry Ramos,Henry,Ramos,BOS,2017,OF,batter,AA
4425,Rainel Rosario,Rainel,Rosario,BOS,2017,OF,batter,AA
287,Andury Acevedo,Andury,Acevedo,CHC,2017,RHP,pitcher,AAA
1909,Frank Batista,Frank,Batista,CHC,2017,RHP,pitcher,AAA
1094,Cole Brocker,Cole,Brocker,CHC,2017,RHP,pitcher,AA
12,Aaron Crow,Aaron,Crow,CHC,2017,RHP,pitcher,AAA
5000,Stephen Fife,Stephen,Fife,CHC,2017,RHP,pitcher,AAA
3931,Miguel Mejia,Miguel,Mejia,CHC,2017,RHP,pitcher,AAA
4992,Starling Peralta,Starling,Peralta,CHC,2017,RHP,pitcher,AA
1559,Drew Rucinski,Drew,Rucinski,CHC,2017,RHP,pitcher,AAA
4849,Scott Barnes,Scott,Barnes,CHC,2017,LHP,pitcher,AAA
675,Brian Matusz,Brian,Matusz,CHC,2017,LHP,pitcher,AAA
2713,Joe Thatcher,Joe,Thatcher,CHC,2017,LHP,pitcher,AAA
5133,Tim Federowicz,Tim,Federowicz,CHC,2017,C,batter,AAA
1363,David Freitas,David,Freitas,CHC,2017,C,batter,AA
3482,Logan Watkins,Logan,Watkins,CHC,2017,2B,batter,AAA
3345,Kris Negron,Kris,Negron,CHC,2017,SS,batter,AAA
3409,Lane Adams,Lane,Adams,CHC,2017,OF,batter,AAA
3253,Kelly Dugan,Kelly,Dugan,CHC,2017,OF,batter,AA
3765,Matt Murton,Matt,Murton,CHC,2017,OF,batter,AAA
3140,Juan Perez,Juan,Perez,CHC,2017,OF,batter,AAA
3921,Miguel Chalas,Miguel,Chalas,CHW,2017,RHP,pitcher,AAA
3737,Matt Heidenreich,Matt,Heidenreich,CHW,2017,RHP,pitcher,AA
2773,John Holdzkom,John,Holdzkom,CHW,2017,RHP,pitcher,AAA
1106,Colin Kleven,Colin,Kleven,CHW,2017,RHP,pitcher,AA
1812,Euclides Leyer,Euclides,Leyer,CHW,2017,RHP,pitcher,AA
3237,Kameron Loe,Kameron,Loe,CHW,2017,RHP,pitcher,AAA
3752,Matt Lollis,Matt,Lollis,CHW,2017,RHP,pitcher,AAA
3036,Joselo Pinales,Joselo,Pinales,CHW,2017,RHP,pitcher,DSL
4365,Peter Tago,Peter,Tago,CHW,2017,RHP,pitcher,AA
2267,Jacob Turner,Jacob,Turner,CHW,2017,RHP,pitcher,AAA
1012,Chris Volstad,Chris,Volstad,CHW,2017,RHP,pitcher,AAA
5557,Yojensy Arias,Yojensy,Arias,CHW,2017,LHP,pitcher,DSL
637,Brett Hayes,Brett,Hayes,CHW,2017,C,batter,AAA
3644,Marcus Lemon,Marcus,Lemon,CHW,2017,SS,batter,AA
295,Andy Parrino,Andy,Parrino,CHW,2017,SS,batter,AAA
2426,Jason Bourgeois,Jason,Bourgeois,CHW,2017,OF,batter,AAA
5184,Tony Campana,Tony,Campana,CHW,2017,OF,batter,AAA
4985,Slade Heathcott,Slade,Heathcott,CHW,2017,OF,batter,AAA
1813,Eudy Pina,Eudy,Pina,CHW,2017,OF,batter,AA
3074,Josh Richmond,Josh,Richmond,CHW,2017,OF,batter,AA
2206,J.B. Shuck,J.B.,Shuck,CHW,2017,OF,batter,AAA
770,Caleb Cotham,Caleb,Cotham,CIN,2017,RHP,pitcher,AAA
1405,Dayan Diaz,Dayan,Diaz,CIN,2017,RHP,pitcher,AAA
1543,Drew Hayes,Drew,Hayes,CIN,2017,RHP,pitcher,AAA
3755,Matt Magill,Matt,Magill,CIN,2017,RHP,pitcher,AAA
5144,Tim Melville,Tim,Melville,CIN,2017,RHP,pitcher,AAA
3,A.J. Morris,A.J.,Morris,CIN,2017,RHP,pitcher,AAA
1721,El’Hajj Muhammad,El’Hajj,Muhammad,CIN,2017,RHP,pitcher,AA
3315,Kevin Shackelford,Kevin,Shackelford,CIN,2017,RHP,pitcher,AAA
4351,Pedro Villarreal,Pedro,Villarreal,CIN,2017,RHP,pitcher,AAA
956,Chris Berset,Chris,Berset,CIN,2017,C,batter,AAA
4414,Rafael Lopez,Rafael,Lopez,CIN,2017,C,batter,AAA
4649,Ronald Bueno,Ronald,Bueno,CIN,2017,2B,batter,AA
4470,Ray Chang,Ray,Chang,CIN,2017,2B,batter,AA
2127,Hernan Iribarren,Hernan,Iribarren,CIN,2017,2B,batter,AAA
2565,Jermaine Curtis,Jermaine,Curtis,CIN,2017,3B,batter,AAA
858,Carlos Triunfel,Carlos,Triunfel,CIN,2017,SS,batter,AAA
3118,Juan Duran,Juan,Duran,CIN,2017,OF,batter,Hi A
1515,Donald Lutz,Donald,Lutz,CIN,2017,OF,batter,AAA
5571,Yorman Rodriguez,Yorman,Rodriguez,CIN,2017,OF,batter,AAA
3393,Kyle Waldrop,Kyle,Waldrop,CIN,2017,OF,batter,AAA
5241,Trevor Foss,Trevor,Foss,CLE,2017,RHP,pitcher,Lo A
4950,Shawn Haviland,Shawn,Haviland,CLE,2017,RHP,pitcher,AAA
1176,Craig Stammen,Craig,Stammen,CLE,2017,RHP,pitcher,AAA
880,Casey Weathers,Casey,Weathers,CLE,2017,RHP,pitcher,AA
5054,T.J. House,T.J.,House,CLE,2017,LHP,pitcher,AAA
3586,Luke Carlin,Luke,Carlin,CLE,2017,C,batter,SS
164,Alex Monsalve,Alex,Monsalve,CLE,2017,C,batter,AA
48,Adam Moore,Adam,Moore,CLE,2017,C,batter,AAA
2060,Guillermo Quiroz,Guillermo,Quiroz,CLE,2017,C,batter,AAA
4227,Omir Santos,Omir,Santos,CLE,2017,C,batter,SS
3217,Justin Toole,Justin,Toole,CLE,2017,2B,batter,AA
3862,Michael Choice,Michael,Choice,CLE,2017,OF,batter,AAA
1015,Christian Bergman,Christian,Bergman,COL,2017,RHP,pitcher,AAA
4977,Simon Castro,Simon,Castro,COL,2017,RHP,pitcher,AAA
4097,Nelson Gonzalez,Nelson,Gonzalez,COL,2017,RHP,pitcher,AAA
2753,Johendi Jiminian,Johendi,Jiminian,COL,2017,RHP,pitcher,AAA
5549,Yoely Bello,Yoely,Bello,COL,2017,LHP,pitcher,Hi A
810,Carlos Hernandez,Carlos,Hernandez,COL,2017,LHP,pitcher,AA
5322,Tyler Matzek,Tyler,Matzek,COL,2017,LHP,pitcher,AA
4290,Pat McCoy,Pat,McCoy,COL,2017,LHP,pitcher,AAA
2249,Jackson Williams,Jackson,Williams,COL,2017,C,batter,AA
469,Ben Paulsen,Ben,Paulsen,COL,2017,1B,batter,AAA
886,Cesar Galvez,Cesar,Galvez,COL,2017,2B,batter,AAA
4420,Rafael Ynoa,Rafael,Ynoa,COL,2017,2B,batter,AAA
991,Chris Nelson,Chris,Nelson,COL,2017,3B,batter,AAA
2499,Jeff Bianchi,Jeff,Bianchi,COL,2017,SS,batter,AAA
5480,Wilson Soriano,Wilson,Soriano,COL,2017,SS,batter,AA
2739,Joey Wong,Joey,Wong,COL,2017,SS,batter,AAA
150,Alex Castellanos,Alex,Castellanos,COL,2017,OF,batter,AA
4671,Rosell Herrera,Rosell,Herrera,COL,2017,OF,batter,AA
5568,Yordy Cabrera,Yordy,Cabrera,DET,2017,RHP,pitcher,Hi A
1640,Edgar de la Rosa,Edgar,de la Rosa,DET,2017,RHP,pitcher,Hi A
4384,Preston Guilmet,Preston,Guilmet,DET,2017,RHP,pitcher,AAA
1381,David Martinez,David,Martinez,DET,2017,RHP,pitcher,AA
1586,Dustin Molleken,Dustin,Molleken,DET,2017,RHP,pitcher,AAA
5100,Thad Weber,Thad,Weber,DET,2017,RHP,pitcher,AA
1533,Drake Britton,Drake,Britton,DET,2017,LHP,pitcher,AAA
890,Cesar Ramos,Cesar,Ramos,DET,2017,LHP,pitcher,AAA
5183,Tommy Shirley,Tommy,Shirley,DET,2017,LHP,pitcher,AA
903,Chad Huffman,Chad,Huffman,DET,2017,1B,batter,AAA
5283,Tyler Bortnick,Tyler,Bortnick,DET,2017,2B,batter,Hi A
1154,Corey Jones,Corey,Jones,DET,2017,2B,batter,AA
2890,Jordany Valdespin,Jordany,Valdespin,DET,2017,2B,batter,AAA
4330,Pedro Ciriaco,Pedro,Ciriaco,DET,2017,SS,batter,AAA
5496,Wynton Bernard,Wynton,Bernard,DET,2017,OF,batter,AA
154,Alex Fernandez Jr.,Alex,Fernandez Jr.,DET,2017,OF,batter,R
893,Cesar Valdez,Cesar,Valdez,HOU,2017,RHP,pitcher,AAA
1820,Eury de la Rosa,Eury,de la Rosa,HOU,2017,LHP,pitcher,AAA
1823,Evan Grills,Evan,Grills,HOU,2017,LHP,pitcher,AAA
4609,Roberto Pena,Roberto,Pena,HOU,2017,C,batter,AA
913,Chan Moon,Chan,Moon,HOU,2017,2B,batter,AAA
1062,Clayton Mortensen,Clayton,Mortensen,KCR,2017,RHP,pitcher,AAA
401,Aroni Nina,Aroni,Nina,KCR,2017,RHP,pitcher,AA
475,Benino Pruneda,Benino,Pruneda,KCR,2017,RHP,pitcher,AAA
4169,Nick Tepesch,Nick,Tepesch,KCR,2017,RHP,pitcher,AAA
2775,John Lannan,John,Lannan,KCR,2017,LHP,pitcher,AAA
446,Balbino Fuenmayor,Balbino,Fuenmayor,KCR,2017,1B,batter,AAA
2172,Irving Falu,Irving,Falu,KCR,2017,2B,batter,AAA
316,Angel Franco,Angel,Franco,KCR,2017,2B,batter,AAA
5030,Steve Tolleson,Steve,Tolleson,KCR,2017,2B,batter,AAA
4234,Orlando Calixte,Orlando,Calixte,KCR,2017,SS,batter,AAA
1597,Dusty Coleman,Dusty,Coleman,KCR,2017,SS,batter,AAA
808,Carlos Garcia,Carlos,Garcia,KCR,2017,OF,batter,AA
1979,Geoff Broussard,Geoff,Broussard,LAA,2017,RHP,pitcher,AAA
2951,Jose Feliz,Jose,Feliz,LAA,2017,RHP,pitcher,DSL
4069,Nate Fury,Nate,Fury,LAA,2017,RHP,pitcher,AA
