internal_id,player_name,first_name,last_name,has_suffix,team,fa_class,position,normed_position,minor_league_level
4270,Palmer Betts,Palmer,Betts,false,ARI,2017,RHP,pitcher,R
919,Charles Brewer,Charles,Brewer,false,ARI,2017,RHP,pitcher,AA
484,Billy Buckner,Billy,Buckner,false,ARI,2017,RHP,pitcher,AAA
3709,Matt Buschmann,Matt,Buschmann,false,ARI,2017,RHP,pitcher,AAA
3714,Matt Capps,Matt,Capps,false,ARI,2017,RHP,pitcher,AAA
1669,Edward Concepcion,Edward,Concepcion,false,ARI,2017,RHP,pitcher,SS
5096,Terry Doyle,Terry,Doyle,false,ARI,2017,RHP,pitcher,AA
1632,Edgar Garcia,Edgar,Garcia,false,ARI,2017,RHP,pitcher,AAA
1099,Cole Johnson,Cole,Johnson,false,ARI,2017,RHP,pitcher,AA
4737,Ryan Kussmaul,Ryan,Kussmaul,false,ARI,2017,RHP,pitcher,AA
2474,Jay Muhammad,Jay,Muhammad,false,ARI,2017,RHP,pitcher,R
508,Blake Perry,Blake,Perry,false,ARI,2017,RHP,pitcher,Hi A
3565,Luis Ramirez,Luis,Ramirez,false,ARI,2017,RHP,pitcher,AA
3684,Markus Solbach,Markus,Solbach,false,ARI,2017,RHP,pitcher,Hi A
2532,Jency Solis,Jency,Solis,false,ARI,2017,RHP,pitcher,Hi A
333,Angelo Almonte,Angelo,Almonte,false,ARI,2017,LHP,pitcher,DSL
2098,Hector Hernandez,Hector,Hernandez,false,ARI,2017,LHP,pitcher,Lo A
1240,Dan Rohlfing,Dan,Rohlfing,false,ARI,2017,C,batter,AAA
3679,Mark Thomas,Mark,Thomas,false,ARI,2017,C,batter,AAA
3185,Justin Chigbogu,Justin,Chigbogu,false,ARI,2017,1B,batter,SS
5210,Travis Denker,Travis,Denker,false,ARI,2017,3B,batter,AA
1616,Ed Lucas,Ed,Lucas,false,ARI,2017,3B,batter,AAA
850,Carlos Rivero,Carlos,Rivero,false,ARI,2017,3B,batter,AAA
4592,Robelys Reyes,Robelys,Reyes,false,ARI,2017,SS,batter,Hi A
5156,Todd Glaesmann,Todd,Glaesmann,false,ARI,2017,OF,batter,AAA
3606,Maikel Cleto,Maikel,Cleto,false,ATL,2017,RHP,pitcher,AAA
579,Brandon Cunniff,Brandon,Cunniff,false,ATL,2017,RHP,pitcher,AAA
870,Casey Kelly,Casey,Kelly,false,ATL,2017,RHP,pitcher,AAA
5365,Victor Mateo,Victor,Mateo,false,ATL,2017,RHP,pitcher,AAA
4576,Rob Wooten,Rob,Wooten,false,ATL,2017,RHP,pitcher,AAA
3602,Madison Younginer,Madison,Younginer,false,ATL,2017,RHP,pitcher,AAA
5459,Willians Astudillo,Willians,Astudillo,false,ATL,2017,C,batter,AA
2875,Jordan Pacheco,Jordan,Pacheco,false,ATL,2017,3B,batter,AAA
1259,Daniel Castro,Daniel,Castro,false,ATL,2017,SS,batter,AAA
4888,Sean Kazmar,Sean,Kazmar,false,ATL,2017,SS,batter,AAA
3747,Matt Lipka,Matt,Lipka,false,ATL,2017,OF,batter,AAA
4326,Pedro Beato,Pedro,Beato,false,BAL,2017,RHP,pitcher,AAA
520,Bobby Bundy,Bobby,Bundy,false,BAL,2017,RHP,pitcher,AAA
1369,David Hale,David,Hale,false,BAL,2017,RHP,pitcher,AAA
2201,Ivan Hernandez,Ivan,Hernandez,false,BAL,2017,RHP,pitcher,AA
1978,Genison Reyes,Genison,Reyes,false,BAL,2017,RHP,pitcher,Hi A
1389,David Richardson,David,Richardson,false,BAL,2017,RHP,pitcher,AA
2392,Janser Severino,Janser,Severino,false,BAL,2017,RHP,pitcher,Hi A
2459,Jason Stoffel,Jason,Stoffel,false,BAL,2017,RHP,pitcher,AAA
2496,Jeff Beliveau,Jeff,Beliveau,false,BAL,2017,LHP,pitcher,AA
293,Andy Oliver,Andy,Oliver,false,BAL,2017,LHP,pitcher,AAA
1638,Edgar Olmos,Edgar,Olmos,false,BAL,2017,LHP,pitcher,AAA
5596,Zach Booker,Zach,Booker,false,BAL,2017,C,batter,AAA
5492,Wynston Sawyer,Wynston,Sawyer,false,BAL,2017,C,batter,AA
2737,Joey Terdoslavich,Joey,Terdoslavich,false,BAL,2017,1B,batter,AA
1147,Corban Joseph,Corban,Joseph,false,BAL,2017,2B,batter,AAA
1958,Garabez Rosa,Garabez,Rosa,false,BAL,2017,2B,batter,AA
3849,Michael Almanzar,Michael,Almanzar,false,BAL,2017,3B,batter,AAA
4658,Ronarsy Ledesma,Ronarsy,Ledesma,false,BAL,2017,3B,batter,Lo A
4259,Ozzie Martinez,Ozzie,Martinez,false,BAL,2017,SS,batter,AAA
4941,Sharlon Schoop,Sharlon,Schoop,false,BAL,2017,SS,batter,AA
4821,Sammie Starr,Sammie,Starr,false,BAL,2017,SS,batter,Lo A
5502,Xavier Avery,Xavier,Avery,false,BAL,2017,OF,batter,AAA
968,Chris Dickerson,Chris,Dickerson,false,BAL,2017,OF,batter,AA
3401,L.J. Hoes,L. J.,Hoes,false,BAL,2017,OF,batter,AAA
5611,Zach Kapstein,Zach,Kapstein,false,BAL,2017,OF,batter,Hi A
4391,Quincy Latimore,Quincy,Latimore,false,BAL,2017,OF,batter,AA
3655,Mario Alcantara,Mario,Alcantara,false,BOS,2017,RHP,pitcher,Hi A
4006,Mitch Atkins,Mitch,Atkins,false,BOS,2017,RHP,pitcher,AA
3245,Keith Couch,Keith,Couch,false,BOS,2017,RHP,pitcher,AA
5454,William Cuevas,William,Cuevas,false,BOS,2017,RHP,pitcher,AAA
2255,Jacob Dahlstrand,Jacob,Dahlstrand,false,BOS,2017,RHP,pitcher,AA
4644,Roman Mendez,Roman,Mendez,false,BOS,2017,RHP,pitcher,AAA
1228,Dan Butler,Dan,Butler,false,BOS,2017,C,batter,AAA
211,Ali Solis,Ali,Solis,false,BOS,2017,C,batter,AAA
1394,David Sopilka,David,Sopilka,false,BOS,2017,C,batter,Hi A
1079,Cody Decker,Cody,Decker,false,BOS,2017,1B,batter,AA
4068,Nate Freiman,Nate,Freiman,false,BOS,2017,1B,batter,AA
985,Chris Marrero,Chris,Marrero,false,BOS,2017,1B,batter,AAA
970,Chris Dominguez,Chris,Dominguez,false,BOS,2017,3B,batter,AAA
3026,Jose Vinicio,Jose,Vinicio,false,BOS,2017,SS,batter,AAA
623,Brennan Boesch,Brennan,Boesch,false,BOS,2017,OF,batter,AAA
