player_name,team,fa_class,position,minor_league_level
Bradin Hagens,Arizona Diamondbacks,2020,RHP,AAA
Matt Koch,Arizona Diamondbacks,2020,RHP,AAA
Michael Kohn,Arizona Diamondbacks,2020,RHP,AAA
Joe Krehbiel,Arizona Diamondbacks,2020,RHP,AAA
Sam Lewis,Arizona Diamondbacks,2020,RHP,AA
Ricky Nolasco,Arizona Diamondbacks,2020,RHP,AAA
Braden Shipley,Arizona Diamondbacks,2020,RHP,AAA
Ben Taylor,Arizona Diamondbacks,2020,RHP,AAA
Lucas Luetge,Arizona Diamondbacks,2020,LHP,AAA
Robby Scott,Arizona Diamondbacks,2020,LHP,AAA
Jose Queliz,Arizona Diamondbacks,2020,C,AAA
Alberto Rosario,Arizona Diamondbacks,2020,C,AAA
Cody Decker,Arizona Diamondbacks,2020,1B,AAA
Carlos Asuaje,Arizona Diamondbacks,2020,2B,AAA
Josh Prince,Arizona Diamondbacks,2020,2B,AAA
Marty Herum,Arizona Diamondbacks,2020,3B,AAA
Jeffrey Baez,Arizona Diamondbacks,2020,OF,AA
Evan Marzilli,Arizona Diamondbacks,2020,OF,AA
Travis Snider,Arizona Diamondbacks,2020,OF,AAA
Matt Szczur,Arizona Diamondbacks,2020,OF,AAA
Jamie Westbrook,Arizona Diamondbacks,2020,OF,AAA
Jonathan Aro,Atlanta Braves,2020,RHP,AA
Claudio Custodio,Atlanta Braves,2020,RHP,AA
Rafael De Paula,Atlanta Braves,2020,RHP,AAA
Jason Hursh,Atlanta Braves,2020,RHP,AA
Lukas Young,Atlanta Braves,2020,RHP,HiA
Jordan Harrison,Atlanta Braves,2020,LHP,AA
Caleb Thielbar,Atlanta Braves,2020,LHP,AAA
Andy Wilkins,Atlanta Braves,2020,1B,HiA
Danny Lockhart,Atlanta Braves,2020,3B,AA
Andres Blanco,Atlanta Braves,2020,SS,AAA
Pedro Florimon,Atlanta Braves,2020,SS,AAA
Luis Marte,Atlanta Braves,2020,SS,AAA
Lane Adams,Atlanta Braves,2020,OF,AA
Ray-Patrick Didder,Atlanta Braves,2020,OF,AAA
Connor Lien,Atlanta Braves,2020,OF,AA
Pedro Araujo,Baltimore Orioles,2020,RHP,AA
Ryan Eades,Baltimore Orioles,2020,RHP,AAA
Taylor Grover,Baltimore Orioles,2020,RHP,AA
Kieran Lovegrove,Baltimore Orioles,2020,RHP,HiA
Marcos Molina,Baltimore Orioles,2020,RHP,AA
Tayler Scott,Baltimore Orioles,2020,RHP,AAA
Jimmy Yacabonis,Baltimore Orioles,2020,RHP,AAA
Gabriel Ynoa,Baltimore Orioles,2020,RHP,AAA
Luis Gonzalez,Baltimore Orioles,2020,LHP,AA
Carlos Perez,Baltimore Orioles,2020,C,AA
Chris Bostick,Baltimore Orioles,2020,2B,AAA
Anderson Feliz,Baltimore Orioles,2020,SS,AA
Sean Miller,Baltimore Orioles,2020,SS,HiA
Jack Reinheimer,Baltimore Orioles,2020,SS,AAA
Engelb Vielma,Baltimore Orioles,2020,SS,AAA
Zach Vincej,Baltimore Orioles,2020,SS,AAA
Ademar Rifaela,Baltimore Orioles,2020,OF,AAA
Anyelo Gomez,Boston Red Sox,2020,RHP,AA
Daniel Gonzalez,Boston Red Sox,2020,RHP,HiA
Robinson Leyer,Boston Red Sox,2020,RHP,AA
Jenrry Mejia,Boston Red Sox,2020,RHP,AAA
Zach Putnam,Boston Red Sox,2020,RHP,AAA
Teddy Stankiewicz,Boston Red Sox,2020,RHP,AAA
Jordan Weems,Boston Red Sox,2020,RHP,AA
Dedgar Jimenez,Boston Red Sox,2020,LHP,AA
Juan Centeno,Boston Red Sox,2020,C,AAA
Jake Romanski,Boston Red Sox,2020,C,AAA
Tony Renda,Boston Red Sox,2020,2B,AAA
Cody Asche,Boston Red Sox,2020,3B,AA
Victor Acosta,Boston Red Sox,2020,SS,HiA
Deiner Lopez,Boston Red Sox,2020,SS,AAA
Isaias Lucena,Boston Red Sox,2020,SS,AA
Trey Ball,Boston Red Sox,2020,OF,LoA
Bryce Brentz,Boston Red Sox,2020,OF,AAA
Joey Curletta,Boston Red Sox,2020,OF,AA
Joseph Monge,Boston Red Sox,2020,OF,HiA
Trevor Clifton,Chicago Cubs,2020,RHP,AAA
Enrique de los Rios,Chicago Cubs,2020,RHP,HiA
Chih-Wei Hu,Chicago Cubs,2020,RHP,AA
Erick Leal,Chicago Cubs,2020,RHP,AA
Allen Webster,Chicago Cubs,2020,RHP,AAA
Alex Wilson,Chicago Cubs,2020,RHP,AAA
Manuel Rondon,Chicago Cubs,2020,LHP,AA
Taylor Davis,Chicago Cubs,2020,C,AAA
Will Remillard,Chicago Cubs,2020,C,AA
Yasiel Balaguert,Chicago Cubs,2020,1B,AA
Phillip Evans,Chicago Cubs,2020,2B,AAA
Gioskar Amaya,Chicago Cubs,2020,3B,AA
Dixon Machado,Chicago Cubs,2020,SS,AAA
Johnny Field,Chicago Cubs,2020,OF,AAA
Chris Pieters,Chicago Cubs,2020,OF,AA
Mauricio Cabrera,Chicago White Sox,2020,RHP,AA
Luis Martinez,Chicago White Sox,2020,RHP,AA
Justin O’Conner,Chicago White Sox,2020,RHP,LoA
Donn Roach,Chicago White Sox,2020,RHP,AAA
Kevin Escorcia,Chicago White Sox,2020,LHP,HiA
Justin Nicolino,Chicago White Sox,2020,LHP,AAA
Colton Turner,Chicago White Sox,2020,LHP,AAA
Tyler Watson,Chicago White Sox,2020,LHP,LoA
Alfredo Gonzalez,Chicago White Sox,2020,C,AA
Matthew Mercedes,Chicago White Sox,2020,1B,DSL
Gerson Montilla,Chicago White Sox,2020,2B,AAA
Trey Michalczewski,Chicago White Sox,2020,3B,AAA
Ramon Torres,Chicago White Sox,2020,SS,AAA
Luis Valenzuela,Chicago White Sox,2020,SS,AA
Ryan Cordell,Chicago White Sox,2020,OF,AAA
Brandon Guyer,Chicago White Sox,2020,OF,AAA
Jose Adames,Cincinnati Reds,2020,RHP,AA
Wendolyn Bautista,Cincinnati Reds,2020,RHP,AAA
Jonathon Crawford,Cincinnati Reds,2020,RHP,HiA
Justin Grimm,Cincinnati Reds,2020,RHP,AAA
Johendi Jiminian,Cincinnati Reds,2020,RHP,AA
Brad Markey,Cincinnati Reds,2020,RHP,AA
Keury Mella,Cincinnati Reds,2020,RHP,AAA
Jon Moscot,Cincinnati Reds,2020,RHP,AA
Alex Powers,Cincinnati Reds,2020,RHP,AAA
Clate Schmidt,Cincinnati Reds,2020,RHP,LoA
Jackson Stephens,Cincinnati Reds,2020,RHP,AAA
Cory Thompson,Cincinnati Reds,2020,RHP,AAA
Raul Wallace,Cincinnati Reds,2020,RHP,R
Ty Boyles,Cincinnati Reds,2020,LHP,AAA
Alec Byrd,Cincinnati Reds,2020,LHP,R
Tim Collins,Cincinnati Reds,2020,LHP,AAA
Juan Martinez,Cincinnati Reds,2020,LHP,AA
Eric Stout,Cincinnati Reds,2020,LHP,AAA
Nick Ciuffo,Cincinnati Reds,2020,C,AAA
Pabel Manzanero,Cincinnati Reds,2020,C,HiA
Chadwick Tromp,Cincinnati Reds,2020,C,AAA
Stuart Turner,Cincinnati Reds,2020,C,AAA
Samir Duenez,Cincinnati Reds,2020,1B,AA
Christian Colon,Cincinnati Reds,2020,2B,AAA
Bryant Flete,Cincinnati Reds,2020,2B,HiA
Mitch Nay,Cincinnati Reds,2020,3B,AAA
Calten Daal,Cincinnati Reds,2020,SS,AA
Luis Gonzalez,Cincinnati Reds,2020,SS,AAA
Yonathan Mendoza,Cincinnati Reds,2020,SS,AA
Nick Longhi,Cincinnati Reds,2020,OF,AAA
Michael O’Neill,Cincinnati Reds,2020,OF,AA
Luis Araujo,Cleveland Indians,2020,RHP,LoA
Shao-Ching Chiang,Cleveland Indians,2020,RHP,AAA
Jon Edwards,Cleveland Indians,2020,RHP,AAA
Jake Paulson,Cleveland Indians,2020,RHP,AA
Michael Peoples,Cleveland Indians,2020,RHP,AAA
Matt Solter,Cleveland Indians,2020,RHP,HiA
Mitch Talbot,Cleveland Indians,2020,RHP,AAA
Yapson Gomez,Cleveland Indians,2020,LHP,HiA
Hector Hernandez,Cleveland Indians,2020,LHP,AA
Rob Kaminsky,Cleveland Indians,2020,LHP,AAA
Juan de la Cruz,Cleveland Indians,2020,C,AA
Ryan Lavarnway,Cleveland Indians,2020,C,AAA
Sicnarf Loopstok,Cleveland Indians,2020,C,AA
Robinson Ramos,Cleveland Indians,2020,C,DSL
Nellie Rodriguez,Cleveland Indians,2020,1B,AA
Max Moroff,Cleveland Indians,2020,2B,AAA
Ordomar Valdez,Cleveland Indians,2020,2B,SS
Jorma Rodriguez,Cleveland Indians,2020,SS,AA
Adam Rosales,Cleveland Indians,2020,SS,AAA
Eric Stamets,Cleveland Indians,2020,SS,AAA
Jordan Smith,Cleveland Indians,2020,OF,HiA
Rayan Gonzalez,Colorado Rockies,2020,RHP,AA
Scott Griggs,Colorado Rockies,2020,RHP,AA
Alexander Guillen,Colorado Rockies,2020,RHP,AA
Salvador Justo,Colorado Rockies,2020,RHP,HiA
Matt Pierpont,Colorado Rockies,2020,RHP,AAA
Pat Dean,Colorado Rockies,2020,LHP,AAA
Mitch Horacek,Colorado Rockies,2020,LHP,AA
Nelson Molina,Colorado Rockies,2020,3B,AAA
Luis Castro,Colorado Rockies,2020,SS,HiA
Peter Mooney,Colorado Rockies,2020,SS,AAA
Elliot Soto,Colorado Rockies,2020,SS,AAA
Noel Cuevas,Colorado Rockies,2020,OF,AAA
Tim Adleman,Detroit Tigers,2020,RHP,AAA
Fernando Calderon,Detroit Tigers,2020,RHP,DSL
