player_name,team,fa_class
Erbert Gonzalez,Arizona Diamondbacks,2021
Eduardo Jimenez,Arizona Diamondbacks,2021
Travis Radke,Arizona Diamondbacks,2021
Alberto Rosario,Arizona Diamondbacks,2021
Bo Takahashi,Arizona Diamondbacks,2021
Ryan Casteel,Atlanta Braves,2021
Jason Creasy,Atlanta Braves,2021
Claudio Custodio,Atlanta Braves,2021
Mike Foltynewicz,Atlanta Braves,2021
Sal Giardina,Atlanta Braves,2021
Felix Hernandez,Atlanta Braves,2021
Kevin Josephina,Atlanta Braves,2021
Sean Kazmar,Atlanta Braves,2021
Pete Kozma,Atlanta Braves,2021
Jack Lopez,Atlanta Braves,2021
Carlos Martinez,Atlanta Braves,2021
Dilmer Mejia,Atlanta Braves,2021
Rafael Ortega,Atlanta Braves,2021
Shane Robinson,Atlanta Braves,2021
Brad Roney,Atlanta Braves,2021
Ben Rowen,Atlanta Braves,2021
Alejandro Salazar,Atlanta Braves,2021
Scott Schebler,Atlanta Braves,2021
Cristian Alvarado,Baltimore Orioles,2021
Danny Barnes,Baltimore Orioles,2021
Malquin Canelo,Baltimore Orioles,2021
Martin Cervenka,Baltimore Orioles,2021
Brian Gonzalez,Baltimore Orioles,2021
Tyler Herb,Baltimore Orioles,2021
David Hess,Baltimore Orioles,2021
Francisco Jimenez,Baltimore Orioles,2021
Ty Moore,Baltimore Orioles,2021
Luis Ortiz,Baltimore Orioles,2021
Brady Rodgers,Baltimore Orioles,2021
Jose Rondon,Baltimore Orioles,2021
Dwight Smith,Baltimore Orioles,2021
Richard Urena,Baltimore Orioles,2021
Jesmuel Valentin,Baltimore Orioles,2021
Andrew Velazquez,Baltimore Orioles,2021
Stetson Allie,Boston Red Sox,2021
Jett Bandy,Boston Red Sox,2021
Juan Centeno,Boston Red Sox,2021
Enmanuel De Jesus,Boston Red Sox,2021
Jhonathan Diaz,Boston Red Sox,2021
Yoel Espinal,Boston Red Sox,2021
Trevor Hildenberger,Boston Red Sox,2021
Ryder Jones,Boston Red Sox,2021
Tommy Joseph,Boston Red Sox,2021
Kevin Lenik,Boston Red Sox,2021
Robinson Leyer,Boston Red Sox,2021
Tzu-Wei Lin,Boston Red Sox,2021
Nick Longhi,Boston Red Sox,2021
Dan McGrath,Boston Red Sox,2021
Jeremy Rivera,Boston Red Sox,2021
Andrew Schwaab,Boston Red Sox,2021
Kevin Steen,Boston Red Sox,2021
Cole Sturgeon,Boston Red Sox,2021
Konner Wade,Boston Red Sox,2021
Tom Windle,Boston Red Sox,2021
Jantzen Witte,Boston Red Sox,2021
Corey Black,Chicago Cubs,2021
Erick Castillo,Chicago Cubs,2021
Eric Gonzalez,Chicago Cubs,2021
Luke Hagerty,Chicago Cubs,2021
Danny Hultzen,Chicago Cubs,2021
Ivan Medina,Chicago Cubs,2021
Jordan Minch,Chicago Cubs,2021
Erling Moreno,Chicago Cubs,2021
Tyler Olson,Chicago Cubs,2021
Eugenio Palma,Chicago Cubs,2021
Pedro Strop,Chicago Cubs,2021
Jerry Vasto,Chicago Cubs,2021
Mark Zagunis,Chicago Cubs,2021
Spencer Adams,Chicago White Sox,2021
Ramon Beltre,Chicago White Sox,2021
Jaycob Brugman,Chicago White Sox,2021
Nicky Delmonico,Chicago White Sox,2021
Sam Long,Chicago White Sox,2021
Matthew Mercedes,Chicago White Sox,2021
Clayton Richard,Chicago White Sox,2021
Zach Thompson,Chicago White Sox,2021
Jose Adames,Cincinnati Reds,2021
Michael Beltre,Cincinnati Reds,2021
Alberti Chavez,Cincinnati Reds,2021
Narciso Crook,Cincinnati Reds,2021
Michael De Leon,Cincinnati Reds,2021
Ibandel Isabel,Cincinnati Reds,2021
Jay Jackson,Cincinnati Reds,2021
Travis Jankowski,Cincinnati Reds,2021
Ernesto Liberatore,Cincinnati Reds,2021
