player_name,team,fa_class,position
Dario Agrazal,Arizona Diamondbacks,2022,RHP
Edgar Arredondo,Arizona Diamondbacks,2022,RHP
Mailon Arroyo,Arizona Diamondbacks,2022,RHP
Luis Alejandro Basabe,Arizona Diamondbacks,2022,IF
Luis Castillo,Arizona Diamondbacks,2022,RHP
Michael De La Cruz,Arizona Diamondbacks,2022,C
Jon Duplantier,Arizona Diamondbacks,2022,RHP
Matthew Gage,Arizona Diamondbacks,2022,LHP
Elijah Greene,Arizona Diamondbacks,2022,OF
Jake Hager,Arizona Diamondbacks,2022,OF
Ryder Jones,Arizona Diamondbacks,2022,3B
Christian Lopes,Arizona Diamondbacks,2022,2B
Kevin McCanna,Arizona Diamondbacks,2022,RHP
Chester Pimentel,Arizona Diamondbacks,2022,RHP
Juniel Querecuto,Arizona Diamondbacks,2022,SS
Henry Ramos,Arizona Diamondbacks,2022,OF
Jamie Ritchie,Arizona Diamondbacks,2022,C
Wesley Rodriguez,Arizona Diamondbacks,2022,RHP
Brandyn Sittinger,Arizona Diamondbacks,2022,RHP
Jordan Weems,Arizona Diamondbacks,2022,RHP
Victor Arano,Atlanta Braves,2022,RHP
Chasen Bradford,Atlanta Braves,2022,RHP
Ryan Casteel,Atlanta Braves,2022,IF
Phillip Ervin,Atlanta Braves,2022,OF
Joseph Fernando,Atlanta Braves,2022,SS
Jay Flaa,Atlanta Braves,2022,RHP
Maikel Franco,Atlanta Braves,2022,3B
Ryan Goins,Atlanta Braves,2022,3B
Terrance Gore,Atlanta Braves,2022,OF
Josh Graham,Atlanta Braves,2022,RHP
Kurt Hoekstra,Atlanta Braves,2022,RHP
Kevin Josephina,Atlanta Braves,2022,SS
Trevor Kelley,Atlanta Braves,2022,RHP
Carlos Martinez,Atlanta Braves,2022,C
Jeff Mathis,Atlanta Braves,2022,C
Sean McLaughlin,Atlanta Braves,2022,RHP
Shean Michel,Atlanta Braves,2022,OF
Jalen Miller,Atlanta Braves,2022,2B
Luis Mora,Atlanta Braves,2022,RHP
Jonathan Morales,Atlanta Braves,2022,C
Emmanuel Ramirez,Atlanta Braves,2022,RHP
Wendell Rijo,Atlanta Braves,2022,2B
Jose Rodriguez,Atlanta Braves,2022,RHP
Ricardo Rodriguez,Atlanta Braves,2022,C
Yolmer Sanchez,Atlanta Braves,2022,3B
Riley Unroe,Atlanta Braves,2022,SS
Stephen Vogt,Atlanta Braves,2022,C
Matt Withrow,Atlanta Braves,2022,RHP
Manuel Barreda,Baltimore Orioles,2022,RHP
Ty Blach,Baltimore Orioles,2022,LHP
Nick Ciuffo,Baltimore Orioles,2022,C
Claudio Custodio,Baltimore Orioles,2022,RHP
Gray Fenter,Baltimore Orioles,2022,RHP
Mickey Jannis,Baltimore Orioles,2022,RHP
Steven Klimek,Baltimore Orioles,2022,RHP
Dusten Knight,Baltimore Orioles,2022,RHP
Ryan Ripken,Baltimore Orioles,2022,1B
Spenser Watkins,Baltimore Orioles,2022,RHP
Jose Adames,Boston Red Sox,2022,RHP
Roldani Baldwin,Boston Red Sox,2022,C
Seth Blair,Boston Red Sox,2022,RHP
Colten Brewer,Boston Red Sox,2022,RHP
Matt Carasiti,Boston Red Sox,2022,RHP
Enmanuel De Jesus,Boston Red Sox,2022,LHP
Chad De La Guerra,Boston Red Sox,2022,2B
Jose De Leon,Boston Red Sox,2022,RHP
Jose Disla,Boston Red Sox,2022,RHP
Jose Espada,Boston Red Sox,2022,RHP
Raynel Espinal,Boston Red Sox,2022,RHP
Michael Gettys,Boston Red Sox,2022,OF
Stephen Gonsalves,Boston Red Sox,2022,LHP
Daniel Gossett,Boston Red Sox,2022,RHP
Zac Grotz,Boston Red Sox,2022,RHP
Christopher Herrmann,Boston Red Sox,2022,C
Jose Iglesias,Boston Red Sox,2022,SS
Matt Kent,Boston Red Sox,2022,LHP
Jack Lopez,Boston Red Sox,2022,SS
Tate Matheny,Boston Red Sox,2022,OF
Joey Meneses,Boston Red Sox,2022,1B
Johan Mieses,Boston Red Sox,2022,OF
Yairo Munoz,Boston Red Sox,2022,3B
Josh Ockimey,Boston Red Sox,2022,1B
Tyler Olson,Boston Red Sox,2022,LHP
Yorvin Pantoja,Boston Red Sox,2022,LHP
Brad Peacock,Boston Red Sox,2022,RHP
Jhonny Pereda,Boston Red Sox,2022,C
Denyi Reyes,Boston Red Sox,2022,RHP
Yacksel Rios,Boston Red Sox,2022,RHP
Jeremy Rivera,Boston Red Sox,2022,SS
Jose Almonte,Chicago Cubs,2022,RHP
Abiatal Avelino,Chicago Cubs,2022,SS
Joe Biagini,Chicago Cubs,2022,RHP
Dakota Chalmers,Chicago Cubs,2022,RHP
Yovanny Cuevas,Chicago Cubs,2022,OF
Johneshwy Fargas,Chicago Cubs,2022,OF
Juan Gamez,Chicago Cubs,2022,RHP
Taylor Gushue,Chicago Cubs,2022,C
Michael Hauschild,Chicago Cubs,2022,RHP
P.J. Higgins,Chicago Cubs,2022,C
Alex Katz,Chicago Cubs,2022,LHP
Ryan Kellogg,Chicago Cubs,2022,LHP
Tyler Ladendorf,Chicago Cubs,2022,3B
Ryan Lawlor,Chicago Cubs,2022,LHP
Luis Lugo,Chicago Cubs,2022,LHP
Dillon Maples,Chicago Cubs,2022,RHP
Jackson McClelland,Chicago Cubs,2022,RHP
Ian Miller,Chicago Cubs,2022,OF
Raymond Pena,Chicago Cubs,2022,C
Marcus Walden,Chicago Cubs,2022,RHP
Joe Wieland,Chicago Cubs,2022,RHP
Vincenzo Aiello,Chicago White Sox,2022,RHP
Tim Beckham,Chicago White Sox,2022,SS
Will Carter,Chicago White Sox,2022,RHP
Jimmy Cordero,Chicago White Sox,2022,RHP
Johan Cruz,Chicago White Sox,2022,SS
Joe DeCarlo,Chicago White Sox,2022,C
Samir Duenez,Chicago White Sox,2022,1B
Carl Edwards,Chicago White Sox,2022,RHP
Ofreidy Gomez,Chicago White Sox,2022,RHP
Marco Hernandez,Chicago White Sox,2022,IF
Kyle Kubat,Chicago White Sox,2022,LHP
Luis Ledo,Chicago White Sox,2022,RHP
Mikie Mahtook,Chicago White Sox,2022,OF
Alejandro Mateo,Chicago White Sox,2022,RHP
Kevin McCarthy,Chicago White Sox,2022,RHP
Kodi Medeiros,Chicago White Sox,2022,LHP
Dilmer Mejia,Chicago White Sox,2022,LHP
Felix Paulino,Chicago White Sox,2022,RHP
Matt Reynolds,Chicago White Sox,2022,SS
Jagger Rusconi,Chicago White Sox,2022,SS
Peter Tago,Chicago White Sox,2022,RHP
Ruben Tejada,Chicago White Sox,2022,IF
Emilio Vargas,Chicago White Sox,2022,RHP
Tim Adleman,Cincinnati Reds,2022,RHP
Dylan Baker,Cincinnati Reds,2022,RHP
Mariel Bautista,Cincinnati Reds,2022,OF
Brantley Bell,Cincinnati Reds,2022,3B
Alex Blandino,Cincinnati Reds,2022,2B
Narciso Crook,Cincinnati Reds,2022,OF
Jhon De Jesus,Cincinnati Reds,2022,RHP
Michael De Leon,Cincinnati Reds,2022,SS
Wilson Garcia,Cincinnati Reds,2022,1B
Sam Hellinger,Cincinnati Reds,2022,RHP
Jan Hernandez,Cincinnati Reds,2022,SS
Nick Howard,Cincinnati Reds,2022,RHP
Braxton Lee,Cincinnati Reds,2022,OF
Zach Lee,Cincinnati Reds,2022,RHP
Diomar Lopez,Cincinnati Reds,2022,RHP
Michael Mariot,Cincinnati Reds,2022,RHP
Fredy Medina,Cincinnati Reds,2022,RHP
Logan Morrison,Cincinnati Reds,2022,1B
Hector Perez,Cincinnati Reds,2022,RHP
Julio Pinto,Cincinnati Reds,2022,RHP
Wennington Romero,Cincinnati Reds,2022,LHP
Kyle Dowdy,Cleveland Guardians,2022,RHP
Heath Fillmyer,Cleveland Guardians,2022,RHP
Gianpaul Gonzalez,Cleveland Guardians,2022,C
Cameron Hill,Cleveland Guardians,2022,RHP
Juan Hillman,Cleveland Guardians,2022,LHP
Matt Koch,Cleveland Guardians,2022,RHP
Tyler Krieger,Cleveland Guardians,2022,SS
Connor Marabell,Cleveland Guardians,2022,OF
Andruw Monasterio,Cleveland Guardians,2022,IF
Jordan Stephens,Cleveland Guardians,2022,RHP
Daniel Young,Cleveland Guardians,2022,LHP
Yency Almonte,Colorado Rockies,2022,RHP
Wynton Bernard,Colorado Rockies,2022,OF
Greg Bird,Colorado Rockies,2022,1B
Scott Burcham,Colorado Rockies,2022,SS
Ryan Castellani,Colorado Rockies,2022,RHP
Ian Clarkin,Colorado Rockies,2022,LHP
Logan Cozart,Colorado Rockies,2022,RHP
Breiling Eusebio,Colorado Rockies,2022,LHP
Conor Fisk,Colorado Rockies,2022,RHP
Josh Fuentes,Colorado Rockies,2022,1B
Max George,Colorado Rockies,2022,C
Jose Gomez,Colorado Rockies,2022,IF
Brian Gonzalez,Colorado Rockies,2022,LHP
Nelson Gonzalez,Colorado Rockies,2022,RHP
Rayan Gonzalez,Colorado Rockies,2022,RHP
Javier Guevara,Colorado Rockies,2022,C
David Hill,Colorado Rockies,2022,RHP
Nick Longhi,Colorado Rockies,2022,OF
Manuel Melendez,Colorado Rockies,2022,OF
Michael Petersen,Colorado Rockies,2022,RHP
Chris Rabago,Colorado Rockies,2022,C
Dereck Rodriguez,Colorado Rockies,2022,RHP
Zac Rosscup,Colorado Rockies,2022,LHP
