player_name,team,fa_class,position,minor_league_level,internal_id,first_name_lower,last_name_lower,normed_position
Nate Adcock,Arizona Diamondbacks,2013,RHP,AAA,1245,nate,adcock,pitcher
Shawn Camp,Arizona Diamondbacks,2013,RHP,AAA,1515,shawn,camp,pitcher
Matt Wright,Arizona Diamondbacks,2013,RHP,AAA,1158,matt,wright,pitcher
Steve Garrison,Arizona Diamondbacks,2013,LHP,AA,1537,steve,garrison,pitcher
Mike Brenly,Arizona Diamondbacks,2013,C,AAA,1200,mike,brenly,batter
Ed Easley,Arizona Diamondbacks,2013,C,AAA,494,ed,easley,batter
Rossmel Perez,Arizona Diamondbacks,2013,C,AA,1426,rossmel,perez,batter
Jake Fox,Arizona Diamondbacks,2013,1B,AAA,684,jake,fox,batter
Taylor Harbin,Arizona Diamondbacks,2013,2B,AAA,1550,taylor,harbin,batter
Sawyer Carroll,Arizona Diamondbacks,2013,OF,AA,1475,sawyer,carroll,batter
Dustin Martin,Arizona Diamondbacks,2013,OF,AA,482,dustin,martin,batter
Juan Rivera,Arizona Diamondbacks,2013,OF,AAA,945,juan,rivera,batter
Brad Snyder,Arizona Diamondbacks,2013,OF,AAA,172,brad,snyder,batter
Brett Cammons*,Atlanta Braves,2013,RHP,AA,199,brett,cammons,pitcher
Pat Egan,Atlanta Braves,2013,RHP,AA,1302,pat,egan,pitcher
Gary Moran,Atlanta Braves,2013,RHP,AA,598,gary,moran,pitcher
Omar Poveda,Atlanta Braves,2013,RHP,AAA,1287,omar,poveda,pitcher
Benino Pruneda*,Atlanta Braves,2013,RHP,AA,142,benino,pruneda,pitcher
Joe Beimel,Atlanta Braves,2013,LHP,AAA,800,joe,beimel,pitcher
Juan Cedeno,Atlanta Braves,2013,LHP,AAA,931,juan,cedeno,pitcher
Yohan Flande,Atlanta Braves,2013,LHP,AAA,1676,yohan,flande,pitcher
Jose Lugo,Atlanta Braves,2013,LHP,Hi A,884,jose,lugo,pitcher
Shawn McGill,Atlanta Braves,2013,C,Hi A,1520,shawn,mcgill,batter
Jose Yepez,Atlanta Braves,2013,C,AAA,901,jose,yepez,batter
Alden Carrithers,Atlanta Braves,2013,2B,AAA,38,alden,carrithers,batter
Jaime Pedroza,Atlanta Braves,2013,SS,AA,673,jaime,pedroza,batter
Stefan Gartrell,Atlanta Braves,2013,OF,AAA,1530,stefan,gartrell,batter
Greg Golson,Atlanta Braves,2013,OF,AA,616,greg,golson,batter
Christian Marrero,Atlanta Braves,2013,OF,AA,334,christian,marrero,batter
Jose Martinez,Atlanta Braves,2013,OF,AA,885,jose,martinez,batter
Tim Alderson,Baltimore Orioles,2013,RHP,AAA,1560,tim,alderson,pitcher
Tim Bascom,Baltimore Orioles,2013,RHP,AA,1564,tim,bascom,pitcher
Eric Beaulac,Baltimore Orioles,2013,RHP,AAA,538,eric,beaulac,pitcher
Zach Clark,Baltimore Orioles,2013,RHP,Hi A,1684,zach,clark,pitcher
Manny Delcarmen,Baltimore Orioles,2013,RHP,AAA,1089,manny,delcarmen,pitcher
Daniel McCutchen,Baltimore Orioles,2013,RHP,AA,401,daniel,mccutchen,pitcher
Jose Nivar,Baltimore Orioles,2013,RHP,Lo A,894,jose,nivar,pitcher
Stu Pomeranz*,Baltimore Orioles,2013,RHP,AA,1546,stu,pomeranz,pitcher
Adam Russell,Baltimore Orioles,2013,RHP,AAA,16,adam,russell,pitcher
Zech Zinicola,Baltimore Orioles,2013,RHP,AA,1697,zech,zinicola,pitcher
Mark Hendrickson,Baltimore Orioles,2013,LHP,AAA,1113,mark,hendrickson,pitcher
Daniel Schlereth,Baltimore Orioles,2013,LHP,AAA,404,daniel,schlereth,pitcher
Allan de San Miguel,Baltimore Orioles,2013,C,Hi A,66,allan,de san miguel,batter
Luis Exposito,Baltimore Orioles,2013,C,AAA,1064,luis,exposito,batter
Luis Martinez,Baltimore Orioles,2013,C,AA,1071,luis,martinez,batter
Seth Loman,Baltimore Orioles,2013,1B,AA,1506,seth,loman,batter
Travis Adair,Baltimore Orioles,2013,2B,AA,1590,travis,adair,batter
Josh Horton,Baltimore Orioles,2013,2B,AA,912,josh,horton,batter
Alex Liddi,Baltimore Orioles,2013,3B,AAA,48,alex,liddi,batter
Brandon Waring,Baltimore Orioles,2013,3B,AA,190,brandon,waring,batter
Zelous Wheeler,Baltimore Orioles,2013,3B,AAA,1699,zelous,wheeler,batter
Yamaico Navarro,Baltimore Orioles,2013,SS,AAA,1671,yamaico,navarro,batter
Niuman Romero,Baltimore Orioles,2013,SS,AA,1279,niuman,romero,batter
George Barber,Baltimore Orioles,2013,OF,Lo A,599,george,barber,batter
Scott Beerer,Baltimore Orioles,2013,OF,AAA,1477,scott,beerer,batter
Kyle Hudson,Baltimore Orioles,2013,OF,AA,1017,kyle,hudson,batter
Trayvon Robinson,Baltimore Orioles,2013,OF,AA,1601,trayvon,robinson,batter
Anthony Carter,Boston Red Sox,2013,RHP,AAA,96,anthony,carter,pitcher
Miguel Celestino,Boston Red Sox,2013,RHP,AA,1186,miguel,celestino,pitcher
Terry Doyle,Boston Red Sox,2013,RHP,AAA,1554,terry,doyle,pitcher
Marco Duarte,Boston Red Sox,2013,RHP,AAA,1097,marco,duarte,pitcher
Charlie Haeger,Boston Red Sox,2013,RHP,AAA,305,charlie,haeger,pitcher
Brock Huntzinger,Boston Red Sox,2013,RHP,AAA,225,brock,huntzinger,pitcher
Bobby Lanigan,Boston Red Sox,2013,RHP,AA,164,bobby,lanigan,pitcher
Gerardo Olivares,Boston Red Sox,2013,RHP,Lo A,602,gerardo,olivares,pitcher
Nate Striz,Boston Red Sox,2013,RHP,Hi A,1252,nate,striz,pitcher
Will Latimer,Boston Red Sox,2013,LHP,AAA,1654,will,latimer,pitcher
Matt Maloney,Boston Red Sox,2013,LHP,AA,1144,matt,maloney,pitcher
Jack McGeary,Boston Red Sox,2013,LHP,Lo A,667,jack,mcgeary,pitcher
Eric Niesen,Boston Red Sox,2013,LHP,AA,543,eric,niesen,pitcher
Rafael Perez,Boston Red Sox,2013,LHP,AA,1345,rafael,perez,pitcher
Manny Rivera,Boston Red Sox,2013,LHP,Lo A,1092,manny,rivera,pitcher
Ryan Rowland-Smith,Boston Red Sox,2013,LHP,AAA,1458,ryan,rowland-smith,pitcher
Alberto Rosario,Boston Red Sox,2013,C,AA,36,alberto,rosario,batter
Matt Spring,Boston Red Sox,2013,C,AA,1150,matt,spring,batter
Mark Hamilton,Boston Red Sox,2013,1B,AAA,1112,mark,hamilton,batter
Brandon Snyder,Boston Red Sox,2013,1B,AAA,187,brandon,snyder,batter
