IDfg,Season,Age,G,PA
15640,2022,30,157,696
18401,2023,25,159,735
17678,2019,25,156,690
15998,2019,23,156,660
10155,2019,27,134,600
5361,2023,33,161,730
13611,2023,30,152,693
11493,2022,29,150,644
9777,2022,31,148,620
16252,2021,28,148,646
9218,2022,34,151,651
12861,2019,29,146,646
20123,2021,22,151,654
19709,2021,22,130,546
5417,2022,32,141,604
5361,2022,32,159,708
11579,2021,28,141,599
11739,2022,31,139,562
18314,2022,28,162,696
11477,2019,27,130,580
19755,2023,28,135,599
14344,2023,29,162,720
12533,2019,28,162,747
17350,2019,22,156,702
13510,2021,28,152,636
16252,2022,29,160,708
12916,2022,28,161,706
19556,2022,25,135,561
19611,2021,22,161,698
13613,2019,25,144,628
19326,2021,26,159,646
14162,2021,26,148,640
5343,2021,34,138,549
19950,2022,23,146,557
13624,2023,29,119,536
12856,2019,29,122,556
9777,2019,28,155,662
20123,2023,24,162,708
13611,2022,29,142,639
12916,2019,25,143,654
12533,2023,32,162,753
10155,2022,30,119,499
12161,2019,26,155,698
12564,2019,26,145,656
17929,2021,26,159,675
12533,2021,30,162,724
13510,2022,29,157,685
12161,2022,29,150,631
13611,2019,26,150,706
11739,2019,28,145,593
25764,2023,23,158,694
9874,2019,30,145,655
18360,2022,25,159,693
23697,2022,21,132,560
11368,2019,30,153,632
20503,2023,25,141,611
20123,2019,20,150,659
12979,2019,26,138,561
15362,2022,30,148,589
23697,2023,22,155,714
26288,2023,25,154,687
26288,2022,24,113,470
12916,2023,29,160,687
15640,2021,29,148,633
16505,2019,26,156,670
12927,2022,29,151,673
19339,2021,26,151,565
25878,2023,22,155,645
17678,2022,28,155,656
19470,2022,27,153,630
15711,2021,26,138,537
9166,2021,34,113,454
5417,2021,31,146,678
19352,2022,27,148,612
17232,2019,24,132,559
5038,2019,33,155,659
9241,2021,32,120,526
18360,2021,24,160,662
19755,2021,26,158,639
16578,2023,31,137,600
18345,2021,24,140,567
14344,2021,27,156,673
5417,2019,29,124,548
17350,2022,25,141,614
18360,2023,26,159,715
18345,2023,26,157,674
20043,2023,25,145,595
19352,2023,28,108,438
19612,2021,23,159,690
23667,2023,22,112,491
18345,2022,25,150,609
15640,2023,31,106,458
2396,2019,33,158,686
18401,2019,21,156,715
9218,2021,33,158,679
25931,2022,21,114,441
19612,2022,24,159,697
24610,2022,24,147,638
19251,2019,24,161,693
15362,2019,27,133,567
5361,2021,31,159,695
13510,2023,30,156,691
15491,2023,28,145,638
26289,2023,22,150,622
12161,2023,30,155,665
18314,2023,29,147,638
19197,2021,26,130,501
14162,2022,27,136,590
11739,2021,30,134,537
2434,2019,38,120,521
13301,2021,30,144,592
15172,2019,26,123,518
18882,2021,26,149,615
11493,2021,28,153,640
17678,2023,29,161,724
21479,2023,26,150,688
18401,2021,23,82,360
5361,2019,29,158,692
