IDfg,Season,Age,G,PA,TBF
13611,2018-01-01,25,136,614,
10155,2018-01-01,26,140,608,
11579,2015-01-01,22,153,654,
10155,2015-01-01,23,159,682,
15640,2017-01-01,25,155,678,
10155,2016-01-01,24,159,681,
5038,2015-01-01,29,158,711,
10155,2014-01-01,22,157,705,
17678,2018-01-01,24,157,705,
12916,2018-01-01,24,158,745,
11477,2018-01-01,26,147,651,
5417,2017-01-01,27,153,662,
13510,2018-01-01,25,157,698,
15429,2016-01-01,24,155,699,
9166,2014-01-01,27,147,605,
9847,2014-01-01,27,146,648,
13611,2016-01-01,23,158,730,
7870,2014-01-01,28,153,655,
4314,2015-01-01,31,158,695,
9218,2015-01-01,27,159,695,
5417,2016-01-01,26,161,717,
11493,2018-01-01,25,162,709,
13510,2017-01-01,24,152,645,
15429,2017-01-01,25,151,665,
10155,2017-01-01,25,114,507,
5038,2016-01-01,30,155,700,
4949,2014-01-01,24,145,638,
9256,2015-01-01,27,157,673,
9166,2015-01-01,28,150,623,
9166,2016-01-01,29,146,614,
9810,2016-01-01,29,155,691,
11493,2015-01-01,22,162,713,
4106,2014-01-01,27,156,676,
4949,2017-01-01,27,159,692,
5361,2016-01-01,26,158,693,
3269,2016-01-01,33,161,715,
16505,2018-01-01,25,145,616,
12861,2014-01-01,24,153,683,
11368,2016-01-01,27,126,457,
4314,2017-01-01,33,162,707,
1887,2014-01-01,33,155,673,
11205,2016-01-01,27,157,706,
5933,2016-01-01,26,153,694,
15429,2015-01-01,23,151,650,
9810,2017-01-01,30,152,705,
9077,2015-01-01,29,140,604,
4616,2014-01-01,31,111,460,
9777,2016-01-01,25,160,696,
9847,2015-01-01,28,157,685,
9077,2018-01-01,32,141,620,
6184,2018-01-01,30,150,649,
12861,2017-01-01,27,147,605,
9777,2018-01-01,27,156,673,
639,2014-01-01,35,148,614,
9785,2016-01-01,28,158,676,
5275,2015-01-01,29,130,510,
2967,2017-01-01,29,128,530,
12979,2018-01-01,25,160,645,
13110,2015-01-01,29,159,676,
12916,2017-01-01,23,159,723,
5417,2018-01-01,28,137,599,
9777,2017-01-01,26,159,680,
10324,2017-01-01,26,159,679,
11493,2016-01-01,23,157,696,
4881,2014-01-01,28,148,644,
5038,2014-01-01,28,158,695,
5235,2017-01-01,32,130,543,
3269,2014-01-01,31,157,665,
4940,2015-01-01,25,154,610,
12861,2018-01-01,28,136,597,
14225,2014-01-01,23,148,640,
12984,2016-01-01,26,156,636,
7859,2017-01-01,30,159,725,
9218,2017-01-01,29,155,665,
9272,2015-01-01,29,160,670,
6195,2016-01-01,34,153,679,
5209,2014-01-01,30,156,643,
15676,2014-01-01,27,145,622,
1744,2016-01-01,33,158,679,
3473,2014-01-01,24,140,616,
8090,2015-01-01,29,154,665,
11477,2016-01-01,24,155,659,
1327,2014-01-01,35,147,629,
4747,2015-01-01,34,157,682,
11368,2018-01-01,29,140,518,
1887,2015-01-01,34,153,666,
3473,2015-01-01,25,160,701,
1744,2014-01-01,31,159,685,
6184,2015-01-01,27,158,657,
639,2016-01-01,37,153,640,
13624,2016-01-01,22,157,687,
5417,2014-01-01,24,158,707,
12916,2016-01-01,22,158,684,
9785,2014-01-01,26,159,654,
16252,2018-01-01,25,162,740,
11368,2015-01-01,26,115,426,
3531,2014-01-01,29,91,375,
15640,2018-01-01,26,112,498,
13510,2016-01-01,23,152,618,
4418,2018-01-01,34,157,680,
4314,2016-01-01,32,158,677,
2434,2015-01-01,34,152,655,
9874,2016-01-01,27,146,635,
12927,2018-01-01,25,140,535,
14274,2018-01-01,27,157,683,
13624,2017-01-01,23,145,613,
11281,2018-01-01,29,158,707,
9077,2017-01-01,31,155,645,
5038,2017-01-01,31,113,496,
14162,2017-01-01,22,109,481,
3473,2016-01-01,26,155,676,
11982,2017-01-01,27,144,606,
9166,2017-01-01,30,140,568,
9627,2014-01-01,26,135,518,
3648,2014-01-01,30,103,329,
8202,2014-01-01,26,143,550,
13611,2015-01-01,22,145,654,
13611,2017-01-01,24,153,712,
8203,2015-01-01,27,145,653,
