IDfg,Season,Age,G,PA,TBF
1109,1993,28,159,674,
327,1996,26,140,638,
549,1997,31,162,744,
1109,1996,31,158,675,
1274,1996,20,146,677,
455,1997,30,153,664,
893,1997,28,152,633,
327,1997,27,157,704,
1109,1997,32,159,690,
327,1993,23,156,691,
1375,1995,28,135,621,
1093,1993,24,158,679,
609,1996,27,153,701,
547,1997,29,162,717,
547,1994,26,110,479,
547,1996,28,162,719,
1109,1995,30,144,635,
1004706,1996,29,153,656,
1001863,1996,33,146,639,
409,1996,25,151,636,
893,1993,24,149,602,
1008559,1996,32,130,548,
1000802,1995,28,143,631,
255,1997,29,146,649,
372,1996,31,156,685,
255,1994,26,113,517,
1086,1995,32,145,639,
1005935,1993,28,126,503,
246,1993,26,148,657,
364,1996,32,149,687,
327,1994,24,111,493,
335,1996,32,152,627,
1003619,1993,30,161,773,
1013960,1993,26,136,500,
893,1996,27,148,631,
1129,1995,27,133,567,
246,1994,27,112,523,
48,1993,27,154,701,
114,1996,27,161,677,
609,1995,26,136,629,
857,1995,26,144,648,
190,1997,23,153,734,
1006482,1996,32,160,724,
255,1993,25,153,676,
1266,1993,28,160,686,
97,1996,24,157,693,
899,1996,28,161,752,
549,1995,29,141,673,
1275,1997,25,150,648,
609,1997,28,156,716,
255,1996,28,141,649,
1086,1997,34,155,678,
1013023,1993,31,128,559,
1109,1994,29,112,474,
893,1995,26,112,475,
409,1995,24,137,557,
1086,1996,33,139,634,
77,1993,27,145,619,
32,1995,26,143,638,
1001477,1996,29,114,500,
1251,1993,23,140,587,
1314,1997,26,159,670,
860,1993,25,153,683,
1032,1993,28,157,682,
1044,1997,30,133,566,
1266,1995,30,143,624,
859,1997,23,151,599,
1275,1996,24,153,685,
547,1993,25,142,609,
302,1996,27,124,541,
1044,1996,29,149,635,
854,1993,25,157,669,
652,1993,26,157,693,
255,1995,27,145,647,
1008559,1997,33,156,657,
1006379,1993,25,142,612,
54,1996,31,161,721,
1001062,1993,27,161,710,
48,1997,31,153,660,
55,1993,25,154,610,
1013862,1993,30,146,668,
1000802,1994,27,106,480,
1168,1997,29,158,685,
1153,1995,25,141,620,
335,1995,31,131,567,
1003010,1993,31,147,637,
658,1996,29,140,560,
1000802,1996,29,158,715,
860,1996,28,153,699,
1001062,1997,31,151,623,
1010300,1993,34,151,707,
302,1995,26,144,629,
246,1997,30,122,564,
1375,1993,26,144,539,
409,1997,26,147,627,
899,1995,27,140,636,
857,1997,28,129,591,
923,1993,27,157,670,
1008559,1995,31,104,422,
1153,1996,26,114,483,
854,1996,28,158,674,
1233,1993,27,154,667,
1073,1997,27,154,661,
867,1997,28,153,577,
1012416,1993,30,130,491,
1000802,1993,26,159,693,
1007184,1993,32,150,651,
56,1993,29,155,676,
1008160,1996,31,146,498,
