key_fangraphs,internal_id,Season,Age,G,pa_tbf,PA,TBF
16398,728,2020,25,2,5,5,0
6697,4164,2018,31,4,25,0,25
4053,5315,2015,27,6,29,0,29
15941,467,2019,29,79,267,267,0
17452,3184,2021,25,21,49,49,0
17759,354,2023,29,30,117,0,117
12575,4406,2019,29,46,348,1,348
5429,921,2015,25,11,35,35,0
9362,56,2018,34,8,20,20,0
13854,369,2022,32,22,59,59,0
19913,2767,2023,25,125,402,402,0
11611,4941,2018,25,86,302,302,0
12119,4001,2018,28,4,13,13,0
9149,5444,2019,29,7,143,10,143
13788,3995,2022,31,93,272,272,9
12779,283,2021,30,9,15,15,6
17877,687,2023,28,5,83,0,83
4626,2501,2016,27,10,24,24,0
4002,3853,2015,27,2,7,0,7
15094,4847,2022,30,6,16,0,16
3274,4348,2015,30,12,21,21,0
13836,3942,2021,30,97,322,322,1
25512,4300,2022,26,1,11,0,11
13652,5360,2019,27,13,93,0,93
11121,933,2017,29,27,264,3,264
8504,2654,2017,30,19,70,0,70
12140,3345,2023,30,9,21,21,0
16291,4365,2021,26,2,6,6,0
4403,1915,2020,40,18,30,30,9
20638,3721,2022,27,3,14,0,14
15608,5790,2018,26,30,97,97,8
18439,1383,2022,28,3,32,0,32
7108,4552,2015,30,26,119,1,119
11145,1094,2019,30,8,8,8,0
9013,954,2017,32,11,140,0,140
18815,4148,2022,27,3,14,0,14
5556,2427,2014,28,2,50,2,50
19337,4799,2024,28,35,147,0,147
5352,5853,2014,26,131,535,535,0
10323,4676,2021,30,103,330,330,0
15157,2829,2020,28,2,13,0,13
12225,5156,2021,30,14,34,34,0
10265,3378,2017,29,1,7,0,7
17489,5282,2022,29,23,459,0,459
21620,2444,2024,29,37,155,0,155
14874,5088,2021,29,8,44,0,44
6052,585,2014,32,10,34,34,0
7677,4334,2018,29,47,180,1,180
14399,4884,2020,27,6,34,0,34
19643,1356,2024,28,1,1,1,0
12990,1896,2021,28,4,9,9,0
7412,4576,2015,32,14,36,36,0
4578,4594,2014,25,1,24,2,24
12399,5382,2023,33,29,82,82,0
9559,459,2017,32,24,299,3,299
4003,627,2014,28,71,242,242,0
11859,3914,2019,27,11,34,34,0
7290,2451,2019,32,20,49,49,0
8801,5769,2014,24,2,7,0,7
