internal_id,full_name,team,name_last,name_first,fa_class,key_fangraphs,mlb_played_first,mlb_played_last,position_cat,Season,Age,G,PA,TBF,played_in_fa_season,played_in_mlb,manual_check
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2017-01-01,27,5,3,,false,true,correct
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2014-01-01,24,17,1,,false,true,correct
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2015-01-01,25,5,0,,false,true,correct
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2016-01-01,26,2,1,,false,true,correct
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2016-01-01,26,2,,21,false,true,correct
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2015-01-01,25,5,,37,false,true,correct
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2017-01-01,27,5,,77,false,true,correct
2294,Jake Buchanan,ARI,buchanan,jake,2019-01-01,10962,2014-01-01,2017-01-01,pitcher,2014-01-01,24,17,,154,false,true,correct
4922,Seth Rosin,SDP,rosin,seth,2017-01-01,10606,2014-01-01,2015-01-01,pitcher,2014-01-01,25,3,0,,false,true,correct
4922,Seth Rosin,SDP,rosin,seth,2017-01-01,10606,2014-01-01,2015-01-01,pitcher,2015-01-01,26,1,0,,false,true,correct
4922,Seth Rosin,SDP,rosin,seth,2017-01-01,10606,2014-01-01,2015-01-01,pitcher,2014-01-01,25,3,,19,false,true,correct
4922,Seth Rosin,SDP,rosin,seth,2017-01-01,10606,2014-01-01,2015-01-01,pitcher,2015-01-01,26,1,,14,false,true,correct
887,Cesar Melendez,LAA,melendez,cesar,2016-01-01,,,,pitcher,,,,,,false,false,correct
666,Brian Gonzalez,COL,gonzalez,brian,2022-01-01,,,,pitcher,,,,,,false,false,correct
1452,Derian Gonzalez,STL,gonzalez,derian,2021-01-01,,,,N/A,,,,,,false,false,correct
2166,Ian Oxnevad,STL,oxnevad,ian,2022-01-01,,,,pitcher,,,,,,false,false,correct
613,Brayan Rodriguez,TOR,rodriguez,brayan,2019-01-01,,,,batter,,,,,,false,false,correct
1948,Gabriel Noriega,MIL,noriega,gabriel,2019-01-01,,,,batter,,,,,,false,false,correct
381,Argenis Angulo,CLE,angulo,argenis,2021-01-01,,,,N/A,,,,,,false,false,correct
300,Andy Wilkins,MIN,wilkins,andy,2019-01-01,11251,2014-01-01,2016-01-01,batter,2016-01-01,27,26,27,,false,true,correct
300,Andy Wilkins,MIN,wilkins,andy,2019-01-01,11251,2014-01-01,2016-01-01,batter,2014-01-01,25,17,45,,false,true,correct
4721,Ryan Dent,BOS,dent,ryan,2014-01-01,,,,batter,,,,,,false,false,correct
2962,Jose Gomez,COL,gomez,jose,2022-01-01,,,,batter,,,,,,false,false,correct
821,Carlos Marmol,CLE,marmol,carlos,2016-01-01,,,,pitcher,,,,,,false,false,false negative – prior MLB – accent marks
3042,Joseph Yabbour,SEA,yabbour,joseph,2024-01-01,,,,pitcher,,,,,,false,false,correct
4780,Ryder Ryan,SEA,ryan,ryder,2024-01-01,19891,2023-01-01,2024-01-01,pitcher,2023-01-01,28,1,0,,false,true,correct
4780,Ryder Ryan,SEA,ryan,ryder,2024-01-01,19891,2023-01-01,2024-01-01,pitcher,2023-01-01,28,1,,4,false,true,correct
1917,Frankie de la Cruz,MIL,de la cruz,frankie,2014-01-01,3920,2007-01-01,2011-01-01,pitcher,,,,,,false,true,correct
2634,Jhonathan Diaz,BOS,diaz,jhonathan,2021-01-01,,,,N/A,,,,,,false,false,false negative – prior MLB – accent marks
1843,Felipe Gonzalez,PIT,gonzalez,felipe,2016-01-01,,,,pitcher,,,,,,false,false,correct
5497,Wynton Bernard,SFG,bernard,wynton,2018-01-01,13408,2022-01-01,2022-01-01,batter,2022-01-01,31,12,42,,false,true,correct
1604,Dylan Bice,MIA,bice,dylan,2023-01-01,,,,pitcher,,,,,,false,false,correct
4015,Mitch Longo,MIL,longo,mitch,2022-01-01,,,,batter,,,,,,false,false,correct
5483,Winston Abreu,KCR,abreu,winston,2021-01-01,582,2006-01-01,2009-01-01,N/A,,,,,,false,true,correct
1745,Enmanuel De Jesus,MIA,de jesus,enmanuel,2024-01-01,18554,2023-01-01,2023-01-01,pitcher,2023-01-01,26,2,0,,false,true,correct
1745,Enmanuel De Jesus,MIA,de jesus,enmanuel,2024-01-01,18554,2023-01-01,2023-01-01,pitcher,2023-01-01,26,2,,34,false,true,correct
1379,David Kubiak,TEX,kubiak,david,2022-01-01,,,,pitcher,,,,,,false,false,correct
5051,Sugar Ray Marimon,ATL,ray marimon,sugar,2016-01-01,,,,pitcher,,,,,,false,false,false negative – prior MLB – accent marks
1596,Dusty Brown,CLE,brown,dusty,2015-01-01,3420,2009-01-01,2011-01-01,batter,,,,,,false,true,correct
5287,Tyler Cyr,LAD,cyr,tyler,2024-01-01,18421,2022-01-01,2023-01-01,pitcher,2022-01-01,29,12,0,,false,true,correct
5287,Tyler Cyr,LAD,cyr,tyler,2024-01-01,18421,2022-01-01,2023-01-01,pitcher,2023-01-01,30,2,0,,false,true,correct
5287,Tyler Cyr,LAD,cyr,tyler,2024-01-01,18421,2022-01-01,2023-01-01,pitcher,2022-01-01,29,12,,55,false,true,correct
5287,Tyler Cyr,LAD,cyr,tyler,2024-01-01,18421,2022-01-01,2023-01-01,pitcher,2023-01-01,30,2,,6,false,true,correct
1964,Garrett Davila,CHW,davila,garrett,2024-01-01,,,,pitcher,,,,,,false,false,correct
949,Chieh Huang,PIT,huang,chieh,2024-01-01,,,,pitcher,,,,,,false,false,false negative – prior MLB – name variant
840,Carlos Perez,COL,perez,carlos,2023-01-01,,,,batter,,,,,,false,false,false negative – prior MLB – accent marks
1676,Edwin Diaz,OAK,diaz,edwin,2022-01-01,,,,batter,,,,,,false,false,false negative – prior MLB – accent marks/duplicate
5230,Trayvon Robinson,PIT,robinson,trayvon,2020-01-01,9875,2011-01-01,2012-01-01,batter,,,,,,false,true,
3377,Kyle Kubat,CHW,kubat,kyle,2022-01-01,,,,pitcher,,,,,,false,false,
1473,Diego Cordero,STL,cordero,diego,2022-01-01,,,,pitcher,,,,,,false,false,
1137,Connor Lien,ATL,lien,connor,2020-01-01,,,,batter,,,,,,false,false,
1250,Daniel Amaral,COL,amaral,daniel,2024-01-01,,,,batter,,,,,,false,false,
